type,stamp_relative,stamp_absolute,error,linear_x,angular_z
error,0.000000,1761866508.891017,-0.058537,nan,nan
command,0.016857,1761866508.907874,nan,0.550000,0.013277
error,0.025948,1761866508.916965,-0.034146,0.550000,0.013277
command,0.050126,1761866508.941143,nan,0.550000,0.041516
error,0.056655,1761866508.947673,0.004878,0.550000,0.041516
command,0.084819,1761866508.975837,nan,0.300000,0.109489
error,0.096955,1761866508.987972,0.058537,0.300000,0.109489
command,0.116563,1761866509.007581,nan,0.300000,0.185808
error,0.123850,1761866509.014867,0.090244,0.300000,0.185808
command,0.152342,1761866509.043360,nan,0.300000,0.149529
error,0.165095,1761866509.056113,0.119512,0.300000,0.149529
command,0.182276,1761866509.073293,nan,0.300000,0.164771
error,0.191520,1761866509.082537,0.141463,0.300000,0.164771
command,0.217705,1761866509.108722,nan,0.300000,0.158602
error,0.229287,1761866509.120304,0.151220,0.300000,0.158602
command,0.247730,1761866509.138748,nan,0.300000,0.133067
error,0.257139,1761866509.148156,0.160976,0.300000,0.133067
command,0.280510,1761866509.171528,nan,0.300000,0.139271
error,0.296705,1761866509.187722,0.163415,0.300000,0.139271
command,0.314113,1761866509.205131,nan,0.300000,0.120871
error,0.325589,1761866509.216606,0.163415,0.300000,0.120871
command,0.347239,1761866509.238256,nan,0.300000,0.114390
error,0.356685,1761866509.247702,0.158537,0.300000,0.114390
command,0.379553,1761866509.270571,nan,0.550000,0.097592
error,0.389728,1761866509.280745,0.151220,0.550000,0.097592
command,0.416782,1761866509.307799,nan,0.550000,0.086373
error,0.430443,1761866509.321460,0.139024,0.550000,0.086373
command,0.445523,1761866509.336540,nan,0.550000,0.062936
error,0.457423,1761866509.348441,0.131707,0.550000,0.062936
command,0.478983,1761866509.370000,nan,0.550000,0.072692
error,0.503855,1761866509.394872,0.119512,0.550000,0.072692
command,0.512069,1761866509.403087,nan,0.550000,0.049851
error,0.524315,1761866509.415332,0.112195,0.550000,0.049851
command,0.545020,1761866509.436038,nan,0.550000,0.058859
error,0.557404,1761866509.448421,0.100000,0.550000,0.058859
command,0.577794,1761866509.468812,nan,0.550000,0.036437
error,0.589502,1761866509.480519,0.092683,0.550000,0.036437
command,0.612892,1761866509.503910,nan,0.550000,0.044732
error,0.630186,1761866509.521203,0.085366,0.550000,0.044732
command,0.643226,1761866509.534243,nan,0.550000,0.039789
error,0.660267,1761866509.551284,0.080488,0.550000,0.039789
command,0.677605,1761866509.568623,nan,0.550000,0.043181
error,0.690502,1761866509.581520,0.073171,0.550000,0.043181
command,0.709819,1761866509.600836,nan,0.550000,0.031063
error,0.722994,1761866509.614012,0.068293,0.550000,0.031063
command,0.742884,1761866509.633901,nan,0.550000,0.034535
error,0.756926,1761866509.647943,0.065854,0.550000,0.034535
command,0.775914,1761866509.666931,nan,0.550000,0.039451
error,0.796205,1761866509.687222,0.060976,0.550000,0.039451
command,0.808115,1761866509.699132,nan,0.550000,0.029408
error,0.825015,1761866509.716032,0.056098,0.550000,0.029408
command,0.841968,1761866509.732986,nan,0.550000,0.026057
error,0.857869,1761866509.748886,0.053659,0.550000,0.026057
command,0.874274,1761866509.765291,nan,0.550000,0.030875
error,0.892003,1761866509.783020,0.051220,0.550000,0.030875
command,0.907876,1761866509.798894,nan,0.550000,0.029272
error,0.931214,1761866509.822231,0.046341,0.550000,0.029272
command,0.941249,1761866509.832267,nan,0.550000,0.018948
error,0.958659,1761866509.849676,0.046341,0.550000,0.018948
command,0.973466,1761866509.864484,nan,0.550000,0.032439
error,0.991532,1761866509.882549,0.048780,0.550000,0.032439
command,1.007575,1761866509.898592,nan,0.550000,0.040752
error,1.022547,1761866509.913564,0.051220,0.550000,0.040752
command,1.039000,1761866509.930018,nan,0.550000,0.042645
error,1.068324,1761866509.959342,0.051220,0.550000,0.042645
command,1.073402,1761866509.964419,nan,0.550000,0.035854
command,1.108809,1761866509.999827,nan,0.550000,0.035854
error,1.117498,1761866510.008515,0.053659,0.550000,0.035854
error,1.133952,1761866510.024969,0.053659,0.550000,0.035854
command,1.138112,1761866510.029130,nan,0.550000,0.044323
error,1.158440,1761866510.049457,0.051220,0.550000,0.044323
command,1.172059,1761866510.063076,nan,0.550000,0.029293
error,1.190390,1761866510.081407,0.056098,0.550000,0.029293
command,1.205865,1761866510.096883,nan,0.550000,0.052642
error,1.224149,1761866510.115167,0.056098,0.550000,0.052642
command,1.236964,1761866510.127981,nan,0.550000,0.039268
command,1.270780,1761866510.161798,nan,0.550000,0.039268
error,1.275725,1761866510.166742,0.058537,0.550000,0.039268
error,1.292939,1761866510.183957,0.060976,0.550000,0.039268
command,1.303181,1761866510.194198,nan,0.550000,0.056162
command,1.337100,1761866510.228117,nan,0.550000,0.042683
error,1.343184,1761866510.234201,0.060976,0.550000,0.042683
error,1.359510,1761866510.250528,0.068293,0.550000,0.042683
command,1.369779,1761866510.260797,nan,0.550000,0.067904
error,1.391500,1761866510.282518,0.068293,0.550000,0.067904
command,1.403194,1761866510.294211,nan,0.550000,0.047805
error,1.423289,1761866510.314306,0.063415,0.550000,0.047805
command,1.435350,1761866510.326367,nan,0.550000,0.031161
error,1.462755,1761866510.353772,0.053659,0.550000,0.031161
command,1.469800,1761866510.360817,nan,0.550000,0.011070
error,1.492534,1761866510.383551,0.041463,0.550000,0.011070
command,1.502090,1761866510.393108,nan,0.550000,-0.004783
command,1.535370,1761866510.426387,nan,0.550000,0.029024
error,1.541492,1761866510.432510,0.012195,0.550000,0.029024
command,1.571823,1761866510.462841,nan,0.300000,-0.070507
error,1.586151,1761866510.477168,-0.036585,0.300000,-0.070507
command,1.601919,1761866510.492936,nan,0.300000,-0.159711
error,1.602548,1761866510.493566,-0.095122,0.300000,-0.159711
error,1.623204,1761866510.514221,-0.168293,0.300000,-0.159711
command,1.634073,1761866510.525090,nan,0.300000,-0.473689
error,1.659254,1761866510.550271,-0.251220,0.300000,-0.473689
command,1.666792,1761866510.557809,nan,0.300000,-0.404683
error,1.690392,1761866510.581409,-0.375610,0.300000,-0.404683
command,1.700234,1761866510.591252,nan,0.300000,-0.604022
error,1.722806,1761866510.613823,-0.487805,0.300000,-0.604022
command,1.733399,1761866510.624416,nan,0.300000,-0.644788
error,1.762954,1761866510.653972,-0.487805,0.300000,-0.644788
command,1.767606,1761866510.658623,nan,0.300000,-0.341463
error,1.789471,1761866510.680489,-0.487805,0.300000,-0.341463
command,1.799313,1761866510.690331,nan,0.300000,-0.341463
error,1.824387,1761866510.715404,-0.487805,0.300000,-0.341463
command,1.833028,1761866510.724045,nan,0.300000,-0.341463
error,1.856246,1761866510.747263,-0.487805,0.300000,-0.341463
command,1.865501,1761866510.756518,nan,0.300000,-0.341463
error,1.890053,1761866510.781070,-0.519512,0.300000,-0.341463
command,1.898802,1761866510.789819,nan,0.300000,-0.449681
error,1.930940,1761866510.821957,-0.460976,0.300000,-0.449681
command,1.931990,1761866510.823007,nan,0.300000,-0.363659
error,1.956337,1761866510.847354,-0.385366,0.300000,-0.363659
command,1.964934,1761866510.855951,nan,0.550000,0.097413
command,1.997136,1761866510.888153,nan,0.300000,-0.269756
error,2.003744,1761866510.894762,-0.292683,0.300000,-0.269756
error,2.024062,1761866510.915079,-0.204878,0.300000,-0.269756
command,2.029548,1761866510.920566,nan,0.300000,0.344929
error,2.056119,1761866510.947136,-0.156098,0.300000,0.344929
