type,stamp_relative,stamp_absolute,error,linear_x,angular_z
error,0.000000,1761866416.871831,0.078049,0.550000,0.058049
error,0.030668,1761866416.902498,0.073171,0.550000,0.058049
command,0.032566,1761866416.904396,nan,0.550000,0.041656
error,0.059238,1761866416.931069,0.065854,0.550000,0.041656
command,0.065889,1761866416.937720,nan,0.550000,0.012780
error,0.092597,1761866416.964428,0.065854,0.550000,0.012780
command,0.097576,1761866416.969406,nan,0.550000,0.046098
error,0.126820,1761866416.998650,0.060976,0.550000,0.046098
command,0.131553,1761866417.003383,nan,0.550000,0.029734
command,0.164811,1761866417.036642,nan,0.550000,0.042683
error,0.165758,1761866417.037589,0.058537,0.550000,0.042683
error,0.195593,1761866417.067423,0.058537,0.550000,0.042683
command,0.197942,1761866417.069772,nan,0.550000,0.034523
error,0.225693,1761866417.097524,0.058537,0.550000,0.034523
command,0.229830,1761866417.101661,nan,0.550000,0.040976
command,0.263958,1761866417.135788,nan,0.550000,0.040976
error,0.266335,1761866417.138166,0.058537,0.550000,0.040976
error,0.293054,1761866417.164885,0.053659,0.550000,0.040976
command,0.297367,1761866417.169197,nan,0.550000,0.040976
command,0.329762,1761866417.201593,nan,0.550000,0.024381
error,0.333369,1761866417.205200,0.056098,0.550000,0.024381
error,0.361707,1761866417.233538,0.056098,0.550000,0.024381
command,0.363819,1761866417.235650,nan,0.550000,0.045923
error,0.393174,1761866417.265005,0.058537,0.550000,0.045923
command,0.395277,1761866417.267108,nan,0.550000,0.039268
error,0.425813,1761866417.297643,0.058537,0.550000,0.039268
command,0.429158,1761866417.300989,nan,0.550000,0.047489
command,0.462259,1761866417.334090,nan,0.550000,0.040976
error,0.465598,1761866417.337429,0.060976,0.550000,0.040976
error,0.493239,1761866417.365070,0.063415,0.550000,0.040976
command,0.494822,1761866417.366653,nan,0.550000,0.049352
command,0.529701,1761866417.401531,nan,0.550000,0.051085
error,0.541532,1761866417.413363,0.065854,0.550000,0.051085
error,0.560601,1761866417.432432,0.068293,0.550000,0.051085
command,0.561551,1761866417.433381,nan,0.550000,0.052668
error,0.593911,1761866417.465742,0.070732,0.550000,0.052668
command,0.594050,1761866417.465881,nan,0.550000,0.054412
error,0.625979,1761866417.497809,0.070732,0.550000,0.054412
command,0.626592,1761866417.498422,nan,0.550000,0.056217
command,0.661828,1761866417.533659,nan,0.550000,0.049512
error,0.667095,1761866417.538925,0.073171,0.550000,0.049512
command,0.691763,1761866417.563594,nan,0.550000,0.058066
error,0.694823,1761866417.566654,0.075610,0.550000,0.058066
command,0.726054,1761866417.597885,nan,0.550000,0.059374
error,0.733647,1761866417.605478,0.080488,0.550000,0.059374
command,0.758839,1761866417.630670,nan,0.550000,0.069960
error,0.759711,1761866417.631542,0.082927,0.550000,0.069960
command,0.792296,1761866417.664127,nan,0.550000,0.064591
error,0.793912,1761866417.665742,0.087805,0.550000,0.064591
command,0.826019,1761866417.697849,nan,0.550000,0.074957
error,0.826520,1761866417.698350,0.087805,0.550000,0.074957
command,0.859756,1761866417.731587,nan,0.550000,0.061463
error,0.867304,1761866417.739135,0.095122,0.550000,0.061463
command,0.890608,1761866417.762439,nan,0.550000,0.086622
error,0.894088,1761866417.765919,0.095122,0.550000,0.086622
command,0.923845,1761866417.795676,nan,0.550000,0.066585
error,0.934175,1761866417.806005,0.097561,0.550000,0.066585
command,0.955998,1761866417.827829,nan,0.550000,0.075055
error,0.960366,1761866417.832196,0.100000,0.550000,0.075055
command,0.989132,1761866417.860963,nan,0.550000,0.076671
error,0.993484,1761866417.865314,0.100000,0.550000,0.076671
command,1.025642,1761866417.897473,nan,0.550000,0.070000
error,1.034778,1761866417.906609,0.104878,0.550000,0.070000
command,1.055434,1761866417.927264,nan,0.550000,0.086524
error,1.061340,1761866417.933171,0.109756,0.550000,0.086524
command,1.090718,1761866417.962548,nan,0.550000,0.090207
error,1.100368,1761866417.972199,0.112195,0.550000,0.090207
command,1.121194,1761866417.993025,nan,0.550000,0.085160
error,1.127809,1761866417.999639,0.114634,0.550000,0.085160
command,1.156336,1761866418.028167,nan,0.550000,0.086944
error,1.166043,1761866418.037873,0.104878,0.550000,0.086944
command,1.186921,1761866418.058751,nan,0.550000,0.046590
error,1.195733,1761866418.067564,0.092683,0.550000,0.046590
command,1.223082,1761866418.094913,nan,0.550000,0.031604
error,1.232352,1761866418.104182,0.073171,0.550000,0.031604
command,1.252663,1761866418.124494,nan,0.550000,-0.002340
error,1.259695,1761866418.131526,0.041463,0.550000,-0.002340
command,1.288672,1761866418.160502,nan,0.300000,-0.054970
error,1.299364,1761866418.171195,-0.009756,0.300000,-0.054970
command,1.319822,1761866418.191653,nan,0.300000,-0.146913
error,1.327470,1761866418.199301,-0.070732,0.300000,-0.146913
command,1.355724,1761866418.227555,nan,0.300000,-0.214912
error,1.367008,1761866418.238839,-0.148780,0.300000,-0.214912
command,1.385135,1761866418.256965,nan,0.300000,-0.322848
error,1.393219,1761866418.265050,-0.231707,0.300000,-0.322848
command,1.421247,1761866418.293078,nan,0.300000,-0.387013
error,1.432230,1761866418.304060,-0.360976,0.300000,-0.387013
command,1.450740,1761866418.322571,nan,0.300000,-0.607664
error,1.459877,1761866418.331708,-0.529268,0.300000,-0.607664
command,1.487893,1761866418.359724,nan,0.300000,-0.817582
error,1.505024,1761866418.376855,-0.529268,0.300000,-0.817582
command,1.517322,1761866418.389152,nan,0.300000,-0.370488
error,1.529607,1761866418.401438,-0.529268,0.300000,-0.370488
