type,stamp_relative,stamp_absolute,error,linear_x,angular_z
command,4.107906,1761866489.768312,nan,0.300000,-0.257805
error,4.132657,1761866489.793063,-0.368293,0.300000,-0.257805
command,4.141761,1761866489.802168,nan,0.300000,-0.257805
error,4.159937,1761866489.820344,-0.368293,0.300000,-0.257805
command,4.172513,1761866489.832920,nan,0.300000,-0.257805
error,4.191284,1761866489.851690,-0.368293,0.300000,-0.257805
command,4.205445,1761866489.865852,nan,0.300000,-0.257805
error,4.233063,1761866489.893470,-0.368293,0.300000,-0.257805
command,4.239880,1761866489.900287,nan,0.300000,-0.257805
error,4.258800,1761866489.919206,-0.368293,0.300000,-0.257805
command,4.272024,1761866489.932431,nan,0.300000,-0.257805
error,4.291426,1761866489.951832,-0.368293,0.300000,-0.257805
command,4.305100,1761866489.965507,nan,0.300000,-0.257805
error,4.325583,1761866489.985990,-0.368293,0.300000,-0.257805
command,4.338141,1761866489.998548,nan,0.300000,-0.257805
error,4.364313,1761866490.024720,-0.553659,0.300000,-0.257805
command,4.371502,1761866490.031909,nan,0.300000,-0.908488
error,4.394066,1761866490.054473,-0.460976,0.300000,-0.908488
command,4.404747,1761866490.065154,nan,0.300000,-0.072943
error,4.425353,1761866490.085759,-0.360976,0.300000,-0.072943
command,4.436818,1761866490.097225,nan,0.550000,0.017760
error,4.458232,1761866490.118639,-0.187805,0.550000,0.017760
command,4.470078,1761866490.130485,nan,0.300000,0.339237
error,4.491679,1761866490.152086,-0.053659,0.300000,0.339237
command,4.503321,1761866490.163727,nan,0.300000,0.326018
error,4.525686,1761866490.186093,0.039024,0.300000,0.326018
command,4.536004,1761866490.196411,nan,0.300000,0.285460
error,4.568437,1761866490.228843,0.080488,0.300000,0.285460
command,4.570440,1761866490.230846,nan,0.550000,0.027317
error,4.592912,1761866490.253319,0.095122,0.550000,0.027317
command,4.602857,1761866490.263264,nan,0.300000,0.222598
error,4.624798,1761866490.285205,0.090244,0.300000,0.222598
