type,stamp_relative,stamp_absolute,error,linear_x,angular_z
error,0.000000,1761866463.094590,0.204878,nan,nan
command,0.009379,1761866463.103969,nan,0.300000,0.183823
error,0.030047,1761866463.124636,0.204878,0.300000,0.183823
command,0.041818,1761866463.136408,nan,0.300000,0.143415
error,0.062301,1761866463.156890,0.202439,0.300000,0.143415
command,0.074859,1761866463.169449,nan,0.300000,0.135094
error,0.102170,1761866463.196759,0.192683,0.300000,0.135094
command,0.109273,1761866463.203863,nan,0.300000,0.108316
error,0.131870,1761866463.226460,0.173171,0.300000,0.108316
command,0.141590,1761866463.236180,nan,0.550000,0.067128
error,0.162122,1761866463.256711,0.153659,0.550000,0.067128
command,0.173885,1761866463.268474,nan,0.550000,0.054835
error,0.194888,1761866463.289478,0.134146,0.550000,0.054835
command,0.206999,1761866463.301589,nan,0.550000,0.041216
error,0.234997,1761866463.329587,0.114634,0.550000,0.041216
command,0.239890,1761866463.334480,nan,0.550000,0.025305
error,0.262652,1761866463.357242,0.097561,0.550000,0.025305
command,0.273236,1761866463.367826,nan,0.550000,0.022896
error,0.298153,1761866463.392743,0.082927,0.550000,0.022896
command,0.306943,1761866463.401532,nan,0.550000,0.017573
error,0.328451,1761866463.423041,0.070732,0.550000,0.017573
command,0.339301,1761866463.433890,nan,0.550000,0.016832
error,0.361858,1761866463.456448,0.053659,0.550000,0.016832
command,0.372245,1761866463.466835,nan,0.550000,-0.009715
error,0.401217,1761866463.495807,0.043902,0.550000,-0.009715
command,0.405288,1761866463.499878,nan,0.550000,0.004047
error,0.428604,1761866463.523193,0.031707,0.550000,0.004047
command,0.438341,1761866463.532931,nan,0.300000,-0.011427
command,0.471910,1761866463.566500,nan,0.550000,0.022195
error,0.473375,1761866463.567964,0.026829,0.550000,0.022195
error,0.497163,1761866463.591753,0.019512,0.550000,0.022195
command,0.505005,1761866463.599595,nan,0.300000,-0.019816
error,0.528449,1761866463.623039,0.012195,0.300000,-0.019816
command,0.536985,1761866463.631574,nan,0.300000,-0.011498
error,0.561753,1761866463.656343,0.007317,0.300000,-0.011498
command,0.571286,1761866463.665876,nan,0.550000,-0.007779
error,0.595015,1761866463.689605,0.000000,0.550000,-0.007779
command,0.604303,1761866463.698893,nan,0.300000,-0.020563
command,0.636723,1761866463.731313,nan,0.550000,0.000000
error,0.637619,1761866463.732209,-0.002439,0.550000,0.000000
error,0.662650,1761866463.757240,-0.004878,0.550000,0.000000
command,0.669648,1761866463.764237,nan,0.300000,-0.016513
error,0.695921,1761866463.790511,-0.009756,0.300000,-0.016513
command,0.702992,1761866463.797582,nan,0.300000,-0.020188
error,0.728582,1761866463.823172,-0.009756,0.300000,-0.020188
command,0.735442,1761866463.830031,nan,0.550000,-0.006829
error,0.768977,1761866463.863567,-0.012195,0.550000,-0.006829
command,0.769013,1761866463.863603,nan,0.550000,-0.006829
error,0.797008,1761866463.891598,-0.012195,0.550000,-0.006829
command,0.801548,1761866463.896137,nan,0.300000,-0.015262
error,0.828443,1761866463.923033,-0.009756,0.300000,-0.015262
command,0.835041,1761866463.929631,nan,0.550000,-0.000270
command,0.867999,1761866463.962589,nan,0.550000,-0.006829
error,0.868426,1761866463.963016,-0.007317,0.550000,-0.006829
error,0.896324,1761866463.990914,-0.002439,0.550000,-0.006829
command,0.900552,1761866463.995142,nan,0.550000,0.017978
error,0.928484,1761866464.023074,-0.002439,0.550000,0.017978
command,0.933515,1761866464.028104,nan,0.550000,-0.001707
error,0.963682,1761866464.058272,0.004878,0.550000,-0.001707
command,0.966664,1761866464.061254,nan,0.550000,-0.001707
error,0.994838,1761866464.089427,0.012195,0.550000,-0.001707
command,0.999946,1761866464.094535,nan,0.550000,0.048490
error,1.028894,1761866464.123484,0.014634,0.550000,0.048490
command,1.032460,1761866464.127050,nan,0.550000,0.008537
command,1.065406,1761866464.159995,nan,0.550000,0.016832
error,1.067990,1761866464.162580,0.017073,0.550000,0.016832
error,1.097972,1761866464.192561,0.021951,0.550000,0.016832
command,1.098611,1761866464.193201,nan,0.550000,0.018619
error,1.130471,1761866464.225060,0.026829,0.550000,0.018619
command,1.132300,1761866464.226890,nan,0.550000,0.028538
error,1.162575,1761866464.257165,0.031707,0.550000,0.028538
command,1.164741,1761866464.259330,nan,0.550000,0.032156
command,1.197849,1761866464.292439,nan,0.550000,0.035397
error,1.201769,1761866464.296358,0.039024,0.550000,0.035397
error,1.228677,1761866464.323266,0.046341,0.550000,0.035397
command,1.231072,1761866464.325661,nan,0.550000,0.047206
command,1.263214,1761866464.357804,nan,0.550000,0.052783
error,1.269168,1761866464.363758,0.039024,0.550000,0.052783
command,1.296690,1761866464.391279,nan,0.550000,0.007328
error,1.297996,1761866464.392586,0.031707,0.550000,0.007328
error,1.328727,1761866464.423316,0.014634,0.550000,0.007328
command,1.330820,1761866464.425410,nan,0.550000,0.002764
command,1.364184,1761866464.458774,nan,0.300000,-0.036555
error,1.368327,1761866464.462916,-0.014634,0.300000,-0.036555
error,1.395786,1761866464.490376,-0.058537,0.300000,-0.036555
command,1.395820,1761866464.490410,nan,0.300000,-0.092570
command,1.430470,1761866464.525060,nan,0.300000,-0.160676
error,1.436026,1761866464.530616,-0.114634,0.300000,-0.160676
command,1.462932,1761866464.557521,nan,0.300000,-0.231537
error,1.463732,1761866464.558322,-0.187805,0.300000,-0.231537
command,1.495388,1761866464.589977,nan,0.300000,-0.329139
error,1.502757,1761866464.597346,-0.265854,0.300000,-0.329139
command,1.527842,1761866464.622431,nan,0.300000,-0.401692
error,1.529042,1761866464.623632,-0.387805,0.300000,-0.401692
command,1.560033,1761866464.654623,nan,0.300000,-0.607123
error,1.568742,1761866464.663332,-0.551220,0.300000,-0.607123
command,1.594941,1761866464.689530,nan,0.300000,-0.817996
error,1.595142,1761866464.689732,-0.551220,0.300000,-0.817996
command,1.629762,1761866464.724351,nan,0.300000,-0.385854
error,1.635878,1761866464.730468,-0.551220,0.300000,-0.385854
command,1.660627,1761866464.755217,nan,0.300000,-0.385854
error,1.661986,1761866464.756575,-0.551220,0.300000,-0.385854
command,1.695853,1761866464.790443,nan,0.300000,-0.385854
error,1.702358,1761866464.796947,-0.551220,0.300000,-0.385854
command,1.725445,1761866464.820035,nan,0.300000,-0.385854
error,1.728573,1761866464.823163,-0.551220,0.300000,-0.385854
command,1.760685,1761866464.855274,nan,0.300000,-0.385854
error,1.768052,1761866464.862642,-0.534146,0.300000,-0.385854
command,1.791365,1761866464.885954,nan,0.300000,-0.327798
error,1.797310,1761866464.891900,-0.407317,0.300000,-0.327798
command,1.824110,1761866464.918700,nan,0.550000,0.065333
error,1.828404,1761866464.922993,-0.285366,0.550000,0.065333
command,1.857948,1761866464.952537,nan,0.300000,0.126650
error,1.861588,1761866464.956177,-0.168293,0.300000,0.126650
command,1.894078,1761866464.988668,nan,0.300000,0.201581
error,1.901675,1761866464.996265,-0.075610,0.300000,0.201581
command,1.923378,1761866465.017968,nan,0.300000,0.200617
error,1.928515,1761866465.023104,-0.026829,0.300000,0.200617
command,1.958522,1761866465.053112,nan,0.300000,0.116121
error,1.970910,1761866465.065499,0.000000,0.300000,0.116121
command,1.989614,1761866465.084204,nan,0.550000,0.072955
error,1.995618,1761866465.090208,0.024390,0.550000,0.072955
command,2.022382,1761866465.116972,nan,0.550000,0.083312
error,2.028120,1761866465.122710,0.058537,0.550000,0.083312
command,2.055345,1761866465.149935,nan,0.300000,0.134806
error,2.061665,1761866465.156254,0.104878,0.300000,0.134806
