type,stamp_relative,stamp_absolute,error,linear_x,angular_z
error,0.000000,1761866440.199697,0.085366,nan,nan
command,0.003379,1761866440.203075,nan,0.550000,0.059756
error,0.029428,1761866440.229125,0.080488,0.550000,0.059756
command,0.035120,1761866440.234817,nan,0.550000,0.042979
error,0.060949,1761866440.260646,0.078049,0.550000,0.042979
command,0.068297,1761866440.267993,nan,0.550000,0.047944
error,0.094167,1761866440.293864,0.080488,0.550000,0.047944
command,0.101960,1761866440.301656,nan,0.550000,0.062910
error,0.127757,1761866440.327453,0.078049,0.550000,0.062910
command,0.134406,1761866440.334103,nan,0.550000,0.047893
error,0.160910,1761866440.360607,0.078049,0.550000,0.047893
command,0.167546,1761866440.367242,nan,0.550000,0.054634
command,0.200442,1761866440.400138,nan,0.550000,0.054634
error,0.207061,1761866440.406758,0.078049,0.550000,0.054634
error,0.228500,1761866440.428197,0.075610,0.550000,0.054634
command,0.232903,1761866440.432599,nan,0.550000,0.046250
error,0.261078,1761866440.460775,0.078049,0.550000,0.046250
command,0.267469,1761866440.467166,nan,0.550000,0.061196
command,0.299560,1761866440.499256,nan,0.550000,0.054634
error,0.301085,1761866440.500782,0.078049,0.550000,0.054634
error,0.328033,1761866440.527730,0.078049,0.550000,0.054634
command,0.332049,1761866440.531745,nan,0.550000,0.054634
error,0.363038,1761866440.562735,0.080488,0.550000,0.054634
command,0.365164,1761866440.564861,nan,0.550000,0.054634
error,0.394748,1761866440.594444,0.082927,0.550000,0.054634
command,0.398212,1761866440.597909,nan,0.550000,0.071072
error,0.427491,1761866440.627188,0.085366,0.550000,0.071072
command,0.431061,1761866440.630758,nan,0.550000,0.058049
command,0.464021,1761866440.663718,nan,0.550000,0.066480
error,0.467041,1761866440.666738,0.085366,0.550000,0.066480
error,0.495102,1761866440.694798,0.085366,0.550000,0.066480
command,0.497179,1761866440.696876,nan,0.550000,0.059756
error,0.530874,1761866440.730571,0.087805,0.550000,0.059756
command,0.530974,1761866440.730671,nan,0.550000,0.059756
error,0.560915,1761866440.760612,0.087805,0.550000,0.059756
command,0.563241,1761866440.762938,nan,0.550000,0.068157
command,0.596256,1761866440.795952,nan,0.550000,0.061463
error,0.601168,1761866440.800864,0.087805,0.550000,0.061463
error,0.627996,1761866440.827693,0.090244,0.550000,0.061463
command,0.631165,1761866440.830862,nan,0.550000,0.061463
error,0.661818,1761866440.861515,0.090244,0.550000,0.061463
command,0.664040,1761866440.863737,nan,0.550000,0.069839
command,0.697151,1761866440.896847,nan,0.550000,0.063171
error,0.703442,1761866440.903139,0.090244,0.550000,0.063171
error,0.729052,1761866440.928748,0.095122,0.550000,0.063171
command,0.729087,1761866440.928784,nan,0.550000,0.063171
command,0.761646,1761866440.961343,nan,0.550000,0.079586
