type,stamp_relative,stamp_absolute,error,linear_x,angular_z
error,0.000000,1761866393.382947,0.063415,0.000000,0.000000
error,0.021053,1761866393.404000,0.063415,0.000000,0.000000
command,0.024557,1761866393.407504,nan,0.500000,0.044390
error,0.053127,1761866393.436074,0.063415,0.500000,0.044390
command,0.059086,1761866393.442033,nan,0.500000,0.044390
error,0.086139,1761866393.469086,0.063415,0.500000,0.044390
command,0.090456,1761866393.473403,nan,0.500000,0.044390
command,0.124865,1761866393.507812,nan,0.500000,0.044390
error,0.127283,1761866393.510230,0.058537,0.500000,0.044390
error,0.155944,1761866393.538891,0.048780,0.500000,0.044390
command,0.158189,1761866393.541136,nan,0.500000,0.027997
error,0.186078,1761866393.569025,0.034146,0.500000,0.027997
command,0.190340,1761866393.573287,nan,0.250000,-0.044633
command,0.222760,1761866393.605707,nan,0.500000,0.023902
error,0.226827,1761866393.609774,0.024390,0.500000,0.023902
error,0.252811,1761866393.635758,0.009756,0.500000,0.023902
command,0.256962,1761866393.639909,nan,0.500000,-0.009330
command,0.289147,1761866393.672094,nan,0.250000,-0.033070
error,0.293304,1761866393.676251,0.000000,0.250000,-0.033070
error,0.321829,1761866393.704776,-0.007317,0.250000,-0.033070
command,0.322841,1761866393.705788,nan,0.250000,-0.026467
command,0.354645,1761866393.737592,nan,0.250000,-0.025332
error,0.359614,1761866393.742561,-0.014634,0.250000,-0.025332
error,0.386776,1761866393.769723,-0.019512,0.250000,-0.025332
command,0.389128,1761866393.772075,nan,0.250000,-0.030177
command,0.420891,1761866393.803838,nan,0.250000,-0.026862
error,0.427207,1761866393.810154,-0.021951,0.250000,-0.026862
error,0.453042,1761866393.835989,-0.021951,0.250000,-0.026862
command,0.455562,1761866393.838508,nan,0.250000,-0.022024
command,0.488012,1761866393.870959,nan,0.250000,-0.015366
error,0.495150,1761866393.878097,-0.021951,0.250000,-0.015366
error,0.520152,1761866393.903099,-0.019512,0.250000,-0.015366
command,0.521229,1761866393.904176,nan,0.250000,-0.015366
command,0.553186,1761866393.936133,nan,0.500000,-0.007014
error,0.558466,1761866393.941413,-0.014634,0.500000,-0.007014
error,0.586688,1761866393.969635,-0.009756,0.500000,-0.007014
command,0.586803,1761866393.969749,nan,0.500000,0.003041
command,0.622513,1761866394.005460,nan,0.500000,0.006618
error,0.632262,1761866394.015209,-0.007317,0.500000,0.006618
command,0.652147,1761866394.035094,nan,0.500000,0.001502
error,0.655802,1761866394.038749,-0.002439,0.500000,0.001502
command,0.685482,1761866394.068429,nan,0.500000,0.011637
error,0.685973,1761866394.068920,0.002439,0.500000,0.011637
command,0.718544,1761866394.101491,nan,0.500000,0.014932
error,0.719492,1761866394.102439,0.007317,0.500000,0.014932
command,0.752460,1761866394.135407,nan,0.500000,0.018349
error,0.758973,1761866394.141920,0.012195,0.500000,0.018349
command,0.784857,1761866394.167804,nan,0.500000,0.021769
error,0.787393,1761866394.170340,0.014634,0.500000,0.021769
command,0.818268,1761866394.201215,nan,0.500000,0.017096
error,0.829297,1761866394.212244,0.017073,0.500000,0.017096
command,0.850406,1761866394.233353,nan,0.500000,0.018442
error,0.853757,1761866394.236704,0.024390,0.500000,0.018442
command,0.883934,1761866394.266881,nan,0.500000,0.036918
error,0.894320,1761866394.277267,0.026829,0.500000,0.036918
command,0.915873,1761866394.298820,nan,0.500000,0.025548
error,0.919680,1761866394.302627,0.026829,0.500000,0.025548
command,0.948948,1761866394.331895,nan,0.500000,0.018780
error,0.952773,1761866394.335720,0.031707,0.500000,0.018780
command,0.981943,1761866394.364889,nan,0.500000,0.035443
error,0.987629,1761866394.370576,0.036585,0.500000,0.035443
command,1.014832,1761866394.397779,nan,0.500000,0.038898
error,1.019841,1761866394.402788,0.036585,0.500000,0.038898
command,1.051081,1761866394.434028,nan,0.500000,0.025610
error,1.059960,1761866394.442906,0.041463,0.500000,0.025610
command,1.080731,1761866394.463678,nan,0.500000,0.042348
error,1.085995,1761866394.468942,0.046341,0.500000,0.042348
command,1.116091,1761866394.499038,nan,0.500000,0.045762
error,1.127181,1761866394.510128,0.048780,0.500000,0.045762
command,1.147340,1761866394.530287,nan,0.500000,0.040736
error,1.154452,1761866394.537399,0.051220,0.500000,0.040736
command,1.180153,1761866394.563100,nan,0.500000,0.042489
error,1.185727,1761866394.568674,0.053659,0.500000,0.042489
command,1.216904,1761866394.599851,nan,0.500000,0.044208
error,1.226089,1761866394.609036,0.056098,0.500000,0.044208
command,1.246137,1761866394.629083,nan,0.500000,0.046006
error,1.252694,1761866394.635640,0.056098,0.500000,0.046006
command,1.282576,1761866394.665523,nan,0.500000,0.039268
error,1.291914,1761866394.674860,0.060976,0.500000,0.039268
command,1.311929,1761866394.694876,nan,0.500000,0.056206
error,1.321252,1761866394.704199,0.060976,0.500000,0.056206
command,1.344729,1761866394.727676,nan,0.500000,0.042683
error,1.352665,1761866394.735612,0.063415,0.500000,0.042683
command,1.377636,1761866394.760583,nan,0.500000,0.051023
error,1.386109,1761866394.769056,0.065854,0.500000,0.051023
command,1.413956,1761866394.796903,nan,0.500000,0.052694
error,1.427166,1761866394.810113,0.068293,0.500000,0.052694
command,1.444626,1761866394.827573,nan,0.500000,0.054339
error,1.453245,1761866394.836192,0.073171,0.500000,0.054339
command,1.479458,1761866394.862405,nan,0.500000,0.064802
error,1.495735,1761866394.878682,0.075610,0.500000,0.064802
command,1.510442,1761866394.893389,nan,0.500000,0.059439
error,1.520531,1761866394.903478,0.078049,0.500000,0.059439
command,1.545927,1761866394.928874,nan,0.500000,0.061314
error,1.559500,1761866394.942447,0.068293,0.500000,0.061314
command,1.575732,1761866394.958679,nan,0.500000,0.020773
error,1.585838,1761866394.968785,0.051220,0.500000,0.020773
command,1.607826,1761866394.990773,nan,0.250000,-0.011195
error,1.632638,1761866395.015585,0.029268,0.250000,-0.011195
command,1.643343,1761866395.026289,nan,0.250000,-0.038141
error,1.655862,1761866395.038809,-0.007317,0.250000,-0.038141
command,1.674779,1761866395.057726,nan,0.250000,-0.105433
error,1.685886,1761866395.068832,-0.063415,0.250000,-0.105433
command,1.708247,1761866395.091194,nan,0.250000,-0.199617
error,1.725342,1761866395.108289,-0.121951,0.250000,-0.199617
command,1.740412,1761866395.123359,nan,0.250000,-0.243946
error,1.753443,1761866395.136389,-0.197561,0.250000,-0.243946
command,1.777827,1761866395.160774,nan,0.250000,-0.340720
error,1.792664,1761866395.175611,-0.285366,0.250000,-0.340720
command,1.807547,1761866395.190494,nan,0.250000,-0.439571
error,1.823301,1761866395.206248,-0.409756,0.250000,-0.439571
command,1.840264,1761866395.223211,nan,0.250000,-0.624186
error,1.852115,1761866395.235062,-0.543902,0.250000,-0.624186
command,1.872881,1761866395.255828,nan,0.250000,-0.751019
error,1.892702,1761866395.275648,-0.543902,0.250000,-0.751019
command,1.906013,1761866395.288960,nan,0.250000,-0.380732
error,1.919222,1761866395.302169,-0.543902,0.250000,-0.380732
command,1.940397,1761866395.323344,nan,0.250000,-0.380732
error,1.958612,1761866395.341558,-0.543902,0.250000,-0.380732
command,1.971750,1761866395.354697,nan,0.250000,-0.380732
error,1.989665,1761866395.372612,-0.465854,0.250000,-0.380732
command,2.004936,1761866395.387883,nan,0.250000,-0.109464
error,2.020339,1761866395.403286,-0.326829,0.250000,-0.109464
command,2.037019,1761866395.419966,nan,0.250000,0.150401
error,2.054174,1761866395.437121,-0.195122,0.250000,0.150401
command,2.070897,1761866395.453844,nan,0.250000,0.219224
error,2.086466,1761866395.469413,-0.073171,0.250000,0.219224
command,2.103195,1761866395.486142,nan,0.250000,0.281949
error,2.120333,1761866395.503280,-0.031707,0.250000,0.281949
command,2.136138,1761866395.519084,nan,0.500000,0.090235
error,2.167086,1761866395.550033,-0.026829,0.500000,0.090235
command,2.171571,1761866395.554518,nan,0.250000,-0.022195
error,2.186737,1761866395.569684,-0.053659,0.250000,-0.022195
command,2.203714,1761866395.586661,nan,0.250000,-0.097235
error,2.221265,1761866395.604212,-0.087805,0.250000,-0.097235
command,2.234920,1761866395.617867,nan,0.250000,-0.156400
error,2.258566,1761866395.641513,-0.100000,0.250000,-0.156400
command,2.269014,1761866395.651961,nan,0.250000,-0.102952
error,2.286549,1761866395.669496,-0.090244,0.250000,-0.102952
command,2.301094,1761866395.684041,nan,0.250000,-0.036558
error,2.327600,1761866395.710547,-0.060976,0.250000,-0.036558
command,2.336237,1761866395.719184,nan,0.500000,0.036940
error,2.353219,1761866395.736166,-0.007317,0.500000,0.036940
command,2.367646,1761866395.750592,nan,0.250000,0.140844
error,2.385352,1761866395.768299,0.051220,0.250000,0.140844
command,2.399788,1761866395.782735,nan,0.250000,0.198405
