type,stamp_relative,stamp_absolute,error,linear_x,angular_z
error,0.000000,1761866531.712758,0.117073,0.550000,0.077103
error,0.030825,1761866531.743583,0.117073,0.550000,0.077103
command,0.032311,1761866531.745069,nan,0.550000,0.075267
command,0.064962,1761866531.777720,nan,0.550000,0.081951
error,0.072205,1761866531.784963,0.117073,0.550000,0.081951
error,0.098092,1761866531.810850,0.117073,0.550000,0.081951
command,0.098773,1761866531.811531,nan,0.550000,0.081951
error,0.130902,1761866531.843660,0.117073,0.550000,0.081951
command,0.131620,1761866531.844378,nan,0.550000,0.081951
command,0.163933,1761866531.876691,nan,0.550000,0.081951
error,0.166069,1761866531.878827,0.114634,0.550000,0.081951
error,0.197226,1761866531.909984,0.114634,0.550000,0.081951
command,0.197701,1761866531.910459,nan,0.550000,0.073606
command,0.230105,1761866531.942863,nan,0.550000,0.080244
error,0.231966,1761866531.944724,0.114634,0.550000,0.080244
command,0.264944,1761866531.977702,nan,0.550000,0.080244
error,0.271271,1761866531.984028,0.112195,0.550000,0.080244
command,0.294627,1761866532.007385,nan,0.550000,0.071784
error,0.298610,1761866532.011368,0.112195,0.550000,0.071784
command,0.331223,1761866532.043981,nan,0.550000,0.078537
error,0.340500,1761866532.053258,0.112195,0.550000,0.078537
command,0.360806,1761866532.073564,nan,0.550000,0.078537
error,0.365498,1761866532.078256,0.112195,0.550000,0.078537
command,0.394464,1761866532.107222,nan,0.550000,0.078537
error,0.397869,1761866532.110627,0.109756,0.550000,0.078537
command,0.427373,1761866532.140131,nan,0.550000,0.070122
error,0.430985,1761866532.143743,0.109756,0.550000,0.070122
command,0.463260,1761866532.176018,nan,0.550000,0.076829
error,0.470927,1761866532.183685,0.109756,0.550000,0.076829
command,0.493094,1761866532.205852,nan,0.550000,0.076829
error,0.500080,1761866532.212837,0.107317,0.550000,0.076829
command,0.527536,1761866532.240294,nan,0.550000,0.068485
error,0.537407,1761866532.250165,0.107317,0.550000,0.068485
command,0.558980,1761866532.271738,nan,0.550000,0.075122
error,0.564586,1761866532.277344,0.104878,0.550000,0.075122
command,0.591700,1761866532.304458,nan,0.550000,0.066700
error,0.597505,1761866532.310263,0.104878,0.550000,0.066700
command,0.625462,1761866532.338219,nan,0.550000,0.073415
error,0.630828,1761866532.343586,0.102439,0.550000,0.073415
command,0.661133,1761866532.373891,nan,0.550000,0.064996
error,0.673746,1761866532.386504,0.102439,0.550000,0.064996
command,0.690886,1761866532.403644,nan,0.550000,0.071707
error,0.699041,1761866532.411799,0.097561,0.550000,0.071707
command,0.727129,1761866532.439887,nan,0.550000,0.055014
error,0.737800,1761866532.450558,0.095122,0.550000,0.055014
command,0.757786,1761866532.470544,nan,0.550000,0.060105
error,0.764725,1761866532.477483,0.095122,0.550000,0.060105
command,0.790957,1761866532.503715,nan,0.550000,0.066585
error,0.798516,1761866532.511274,0.090244,0.550000,0.066585
command,0.824908,1761866532.537666,nan,0.550000,0.049474
error,0.839350,1761866532.552108,0.090244,0.550000,0.049474
command,0.856735,1761866532.569493,nan,0.550000,0.063171
error,0.865860,1761866532.578618,0.090244,0.550000,0.063171
command,0.892814,1761866532.605572,nan,0.550000,0.063171
error,0.904726,1761866532.617484,0.087805,0.550000,0.063171
command,0.922295,1761866532.635053,nan,0.550000,0.054713
error,0.931585,1761866532.644343,0.085366,0.550000,0.054713
command,0.958265,1761866532.671023,nan,0.550000,0.053114
error,0.970103,1761866532.682861,0.085366,0.550000,0.053114
command,0.987889,1761866532.700647,nan,0.550000,0.059756
error,1.000270,1761866532.713028,0.085366,0.550000,0.059756
command,1.020474,1761866532.733232,nan,0.550000,0.059756
error,1.031082,1761866532.743840,0.085366,0.550000,0.059756
command,1.058468,1761866532.771226,nan,0.550000,0.059756
error,1.076186,1761866532.788944,0.085366,0.550000,0.059756
command,1.087888,1761866532.800646,nan,0.550000,0.059756
error,1.098160,1761866532.810918,0.080488,0.550000,0.059756
command,1.120397,1761866532.833155,nan,0.550000,0.043290
error,1.131111,1761866532.843869,0.080488,0.550000,0.043290
command,1.155586,1761866532.868344,nan,0.550000,0.056341
error,1.172080,1761866532.884838,0.080488,0.550000,0.056341
command,1.185846,1761866532.898604,nan,0.550000,0.056341
error,1.198117,1761866532.910875,0.078049,0.550000,0.056341
command,1.221758,1761866532.934516,nan,0.550000,0.047883
error,1.237907,1761866532.950665,0.078049,0.550000,0.047883
command,1.252390,1761866532.965148,nan,0.550000,0.054634
error,1.264845,1761866532.977603,0.065854,0.550000,0.054634
command,1.288963,1761866533.001721,nan,0.550000,0.012779
error,1.306073,1761866533.018831,0.046341,0.550000,0.012779
command,1.318804,1761866533.031562,nan,0.300000,-0.020311
error,1.335082,1761866533.047839,0.024390,0.300000,-0.020311
command,1.351395,1761866533.064153,nan,0.300000,-0.042698
error,1.363482,1761866533.076240,-0.017073,0.300000,-0.042698
command,1.385217,1761866533.097975,nan,0.300000,-0.126176
error,1.402918,1761866533.115676,-0.073171,0.300000,-0.126176
command,1.417261,1761866533.130019,nan,0.300000,-0.205766
error,1.431163,1761866533.143921,-0.136585,0.300000,-0.205766
command,1.454042,1761866533.166800,nan,0.300000,-0.267579
error,1.471735,1761866533.184493,-0.219512,0.300000,-0.267579
command,1.483617,1761866533.196375,nan,0.300000,-0.378059
error,1.499435,1761866533.212193,-0.314634,0.300000,-0.378059
command,1.516488,1761866533.229246,nan,0.300000,-0.479780
error,1.537759,1761866533.250517,-0.453659,0.300000,-0.479780
command,1.549137,1761866533.261895,nan,0.300000,-0.695551
error,1.566690,1761866533.279448,-0.453659,0.300000,-0.695551
command,1.581492,1761866533.294250,nan,0.300000,-0.317561
error,1.598591,1761866533.311349,-0.453659,0.300000,-0.317561
command,1.614849,1761866533.327607,nan,0.300000,-0.317561
error,1.632473,1761866533.345231,-0.453659,0.300000,-0.317561
command,1.648125,1761866533.360883,nan,0.300000,-0.317561
error,1.666452,1761866533.379210,-0.453659,0.300000,-0.317561
command,1.680389,1761866533.393147,nan,0.300000,-0.317561
error,1.698091,1761866533.410849,-0.453659,0.300000,-0.317561
command,1.713530,1761866533.426288,nan,0.300000,-0.317561
error,1.737868,1761866533.450626,-0.453659,0.300000,-0.317561
command,1.747892,1761866533.460650,nan,0.300000,-0.317561
error,1.765455,1761866533.478213,-0.453659,0.300000,-0.317561
command,1.779192,1761866533.491950,nan,0.300000,-0.317561
error,1.797026,1761866533.509784,-0.453659,0.300000,-0.317561
command,1.812270,1761866533.525028,nan,0.300000,-0.317561
error,1.840324,1761866533.553082,-0.453659,0.300000,-0.317561
command,1.846770,1761866533.559528,nan,0.300000,-0.317561
error,1.865745,1761866533.578503,-0.575610,0.300000,-0.317561
command,1.879171,1761866533.591929,nan,0.300000,-0.730375
error,1.897179,1761866533.609937,-0.482927,0.300000,-0.730375
command,1.911243,1761866533.624001,nan,0.300000,-0.079944
error,1.936755,1761866533.649513,-0.375610,0.300000,-0.079944
command,1.945966,1761866533.658724,nan,0.550000,0.026761
error,1.964202,1761866533.676959,-0.212195,0.550000,0.026761
command,1.977976,1761866533.690734,nan,0.300000,0.292648
error,1.999464,1761866533.712222,-0.068293,0.300000,0.292648
command,2.010234,1761866533.722992,nan,0.300000,0.353742
error,2.030267,1761866533.743025,0.048780,0.300000,0.353742
command,2.043392,1761866533.756150,nan,0.300000,0.351061
error,2.064107,1761866533.776865,0.151220,0.300000,0.351061
command,2.076558,1761866533.789316,nan,0.300000,0.383871
error,2.096421,1761866533.809179,0.234146,0.300000,0.383871
command,2.109724,1761866533.822481,nan,0.300000,0.389189
error,2.136112,1761866533.848869,0.314634,0.300000,0.389189
command,2.144707,1761866533.857465,nan,0.300000,0.438274
error,2.166749,1761866533.879507,0.392683,0.300000,0.438274
command,2.176453,1761866533.889211,nan,0.300000,0.490215
error,2.197012,1761866533.909769,0.468293,0.300000,0.490215
command,2.208677,1761866533.921434,nan,0.300000,0.533338
error,2.230167,1761866533.942925,0.529268,0.300000,0.533338
command,2.241817,1761866533.954575,nan,0.300000,0.536146
error,2.270561,1761866533.983319,0.558537,0.300000,0.536146
command,2.274710,1761866533.987468,nan,0.300000,0.473126
error,2.297405,1761866534.010163,0.524390,0.300000,0.473126
command,2.307860,1761866534.020618,nan,0.300000,0.276341
command,2.341039,1761866534.053797,nan,0.300000,0.367073
error,2.345258,1761866534.058015,0.439024,0.300000,0.367073
error,2.364224,1761866534.076982,0.334146,0.300000,0.367073
command,2.373827,1761866534.086585,nan,0.300000,-0.285243
error,2.396924,1761866534.109682,0.209756,0.300000,-0.285243
command,2.407391,1761866534.120149,nan,0.300000,-0.184281
error,2.429829,1761866534.142587,0.104878,0.300000,-0.184281
command,2.440541,1761866534.153299,nan,0.300000,-0.214644
error,2.464458,1761866534.177216,0.034146,0.300000,-0.214644
command,2.473899,1761866534.186657,nan,0.300000,-0.168099
error,2.506497,1761866534.219255,0.009756,0.300000,-0.168099
command,2.506711,1761866534.219469,nan,0.550000,0.023902
error,2.531031,1761866534.243789,0.012195,0.550000,0.023902
command,2.539686,1761866534.252444,nan,0.300000,-0.051567
error,2.563487,1761866534.276245,0.029268,0.300000,-0.051567
command,2.573017,1761866534.285775,nan,0.550000,0.065845
error,2.596852,1761866534.309610,0.048780,0.550000,0.065845
command,2.605715,1761866534.318473,nan,0.550000,0.088420
error,2.637195,1761866534.349953,0.082927,0.550000,0.088420
command,2.639113,1761866534.351871,nan,0.550000,0.034146
error,2.666854,1761866534.379611,0.119512,0.550000,0.034146
command,2.671069,1761866534.383827,nan,0.300000,0.280837
error,2.696702,1761866534.409460,0.146341,0.300000,0.280837
command,2.704757,1761866534.417515,nan,0.300000,0.175431
error,2.736747,1761866534.449505,0.165854,0.300000,0.175431
command,2.739388,1761866534.452146,nan,0.300000,0.102439
error,2.763755,1761866534.476513,0.168293,0.300000,0.102439
command,2.770476,1761866534.483234,nan,0.300000,0.178738
error,2.796842,1761866534.509600,0.158537,0.300000,0.178738
command,2.804871,1761866534.517629,nan,0.550000,0.085275
error,2.832168,1761866534.544926,0.139024,0.550000,0.085275
command,2.836608,1761866534.549366,nan,0.550000,0.043071
error,2.864258,1761866534.577016,0.102439,0.550000,0.043071
command,2.870221,1761866534.582978,nan,0.300000,-0.029079
command,2.902182,1761866534.614940,nan,0.550000,0.071707
error,2.904007,1761866534.616765,0.048780,0.550000,0.071707
error,2.930290,1761866534.643048,-0.009756,0.550000,0.071707
command,2.934980,1761866534.647738,nan,0.300000,-0.311443
error,2.963173,1761866534.675931,-0.075610,0.300000,-0.311443
command,2.968003,1761866534.680761,nan,0.300000,-0.232864
command,3.001339,1761866534.714097,nan,0.300000,-0.052927
error,3.004841,1761866534.717598,-0.143902,0.300000,-0.052927
error,3.030487,1761866534.743245,-0.187805,0.300000,-0.052927
command,3.035007,1761866534.747764,nan,0.300000,-0.434882
command,3.067622,1761866534.780380,nan,0.300000,-0.131463
error,3.071255,1761866534.784013,-0.251220,0.300000,-0.131463
error,3.097005,1761866534.809763,-0.324390,0.300000,-0.131463
command,3.101203,1761866534.813961,nan,0.300000,-0.347610
command,3.133168,1761866534.845926,nan,0.300000,-0.431071
error,3.137602,1761866534.850360,-0.368293,0.300000,-0.431071
error,3.165436,1761866534.878194,-0.429268,0.300000,-0.431071
command,3.166908,1761866534.879666,nan,0.300000,-0.378497
command,3.198692,1761866534.911450,nan,0.300000,-0.467172
error,3.203951,1761866534.916709,-0.492683,0.300000,-0.467172
error,3.230464,1761866534.943222,-0.514634,0.300000,-0.467172
command,3.232974,1761866534.945732,nan,0.300000,-0.513059
command,3.267696,1761866534.980454,nan,0.300000,-0.421502
error,3.276375,1761866534.989133,-0.509756,0.300000,-0.421502
error,3.299371,1761866535.012129,-0.451219,0.300000,-0.421502
command,3.299408,1761866535.012166,nan,0.300000,-0.343759
error,3.332235,1761866535.044993,-0.363415,0.300000,-0.343759
command,3.332692,1761866535.045450,nan,0.300000,-0.155075
command,3.364804,1761866535.077562,nan,0.300000,-0.017565
error,3.370298,1761866535.083056,-0.253659,0.300000,-0.017565
error,3.397102,1761866535.109860,-0.131707,0.300000,-0.017565
command,3.398372,1761866535.111130,nan,0.300000,0.122921
error,3.430303,1761866535.143060,-0.058537,0.300000,0.122921
command,3.431074,1761866535.143832,nan,0.300000,0.243371
command,3.464007,1761866535.176765,nan,0.300000,0.160416
error,3.464305,1761866535.177063,-0.004878,0.300000,0.160416
command,3.499209,1761866535.211967,nan,0.300000,0.140680
error,3.505801,1761866535.218559,-0.002439,0.300000,0.140680
command,3.529802,1761866535.242560,nan,0.550000,0.005050
error,3.530764,1761866535.243522,-0.048780,0.550000,0.005050
command,3.563384,1761866535.276142,nan,0.300000,-0.158878
error,3.563595,1761866535.276353,-0.131707,0.300000,-0.158878
command,3.595886,1761866535.308644,nan,0.300000,-0.317686
error,3.602933,1761866535.315691,-0.246341,0.300000,-0.317686
command,3.629082,1761866535.341840,nan,0.300000,-0.484035
error,3.630454,1761866535.343212,-0.443902,0.300000,-0.484035
command,3.661184,1761866535.373942,nan,0.300000,-0.853569
error,3.666157,1761866535.378915,-0.443902,0.300000,-0.853569
command,3.694915,1761866535.407673,nan,0.300000,-0.310732
error,3.696055,1761866535.408813,-0.443902,0.300000,-0.310732
command,3.727693,1761866535.440451,nan,0.300000,-0.310732
error,3.736689,1761866535.449446,-0.443902,0.300000,-0.310732
command,3.760143,1761866535.472901,nan,0.300000,-0.310732
error,3.763657,1761866535.476414,-0.443902,0.300000,-0.310732
command,3.792866,1761866535.505624,nan,0.300000,-0.310732
error,3.796223,1761866535.508981,-0.443902,0.300000,-0.310732
command,3.830162,1761866535.542920,nan,0.300000,-0.310732
error,3.839450,1761866535.552208,-0.443902,0.300000,-0.310732
command,3.858678,1761866535.571435,nan,0.300000,-0.310732
error,3.864594,1761866535.577352,-0.443902,0.300000,-0.310732
command,3.894373,1761866535.607131,nan,0.300000,-0.310732
error,3.902490,1761866535.615248,-0.443902,0.300000,-0.310732
command,3.925022,1761866535.637779,nan,0.300000,-0.310732
error,3.930019,1761866535.642777,-0.443902,0.300000,-0.310732
command,3.957666,1761866535.670424,nan,0.300000,-0.310732
error,3.962747,1761866535.675505,-0.443902,0.300000,-0.310732
command,3.994528,1761866535.707286,nan,0.300000,-0.310732
error,4.005777,1761866535.718535,-0.446341,0.300000,-0.310732
command,4.024117,1761866535.736875,nan,0.300000,-0.319187
error,4.031032,1761866535.743789,-0.353659,0.300000,-0.319187
command,4.059659,1761866535.772417,nan,0.550000,0.004796
error,4.070813,1761866535.783571,-0.243902,0.550000,0.004796
command,4.090682,1761866535.803440,nan,0.300000,0.125011
error,4.098380,1761866535.811138,-0.136585,0.300000,0.125011
command,4.123684,1761866535.836442,nan,0.300000,0.196376
error,4.131226,1761866535.843984,-0.053659,0.300000,0.196376
command,4.158636,1761866535.871394,nan,0.300000,0.188518
error,4.171790,1761866535.884548,-0.004878,0.300000,0.188518
command,4.189435,1761866535.902193,nan,0.300000,0.130562
error,4.198819,1761866535.911577,0.014634,0.300000,0.130562
command,4.222174,1761866535.934932,nan,0.550000,0.063738
error,4.235472,1761866535.948230,0.014634,0.550000,0.063738
command,4.254883,1761866535.967641,nan,0.550000,0.010244
error,4.265505,1761866535.978263,0.000000,0.550000,0.010244
command,4.291792,1761866536.004550,nan,0.300000,-0.038912
error,4.303952,1761866536.016709,-0.024390,0.300000,-0.038912
command,4.321528,1761866536.034286,nan,0.300000,-0.083743
error,4.340822,1761866536.053580,-0.058537,0.300000,-0.083743
command,4.354214,1761866536.066972,nan,0.300000,-0.134939
error,4.365829,1761866536.078587,-0.095122,0.300000,-0.134939
command,4.386916,1761866536.099674,nan,0.300000,-0.167384
error,4.397182,1761866536.109940,-0.131707,0.300000,-0.167384
command,4.420786,1761866536.133544,nan,0.300000,-0.190055
error,4.431180,1761866536.143938,-0.165854,0.300000,-0.190055
command,4.453223,1761866536.165981,nan,0.300000,-0.209900
error,4.470863,1761866536.183621,-0.192683,0.300000,-0.209900
command,4.486607,1761866536.199365,nan,0.300000,-0.209026
error,4.500136,1761866536.212894,-0.214634,0.300000,-0.209026
command,4.519461,1761866536.232219,nan,0.300000,-0.208929
error,4.531362,1761866536.244120,-0.224390,0.300000,-0.208929
command,4.555901,1761866536.268659,nan,0.300000,-0.183967
error,4.571815,1761866536.284573,-0.231707,0.300000,-0.183967
command,4.585181,1761866536.297939,nan,0.300000,-0.182037
error,4.597621,1761866536.310379,-0.234146,0.300000,-0.182037
command,4.617737,1761866536.330494,nan,0.300000,-0.170648
error,4.631538,1761866536.344296,-0.226829,0.300000,-0.170648
command,4.651482,1761866536.364240,nan,0.300000,-0.139138
error,4.675471,1761866536.388229,-0.217073,0.300000,-0.139138
command,4.685717,1761866536.398475,nan,0.300000,-0.125121
error,4.701420,1761866536.414177,-0.200000,0.300000,-0.125121
command,4.717788,1761866536.430546,nan,0.300000,-0.093852
error,4.731225,1761866536.443983,-0.192683,0.300000,-0.093852
command,4.753093,1761866536.465851,nan,0.300000,-0.115015
error,4.773518,1761866536.486276,-0.190244,0.300000,-0.115015
command,4.784081,1761866536.496839,nan,0.300000,-0.126305
error,4.798836,1761866536.511594,-0.190244,0.300000,-0.126305
command,4.816169,1761866536.528927,nan,0.300000,-0.133171
error,4.840446,1761866536.553204,-0.192683,0.300000,-0.133171
command,4.850707,1761866536.563465,nan,0.300000,-0.141634
error,4.867035,1761866536.579793,-0.200000,0.300000,-0.141634
command,4.881477,1761866536.594235,nan,0.300000,-0.160060
error,4.899554,1761866536.612312,-0.209756,0.300000,-0.160060
command,4.914850,1761866536.627608,nan,0.300000,-0.173159
error,4.933097,1761866536.645854,-0.231707,0.300000,-0.173159
command,4.947270,1761866536.660028,nan,0.300000,-0.223226
