type,stamp_relative,stamp_absolute,error,linear_x,angular_z
error,0.000000,1761865625.150340,0.012195,0.300000,0.010244
command,0.011675,1761865625.162015,nan,0.300000,0.001785
error,0.019694,1761865625.170034,0.009756,0.300000,0.001785
command,0.044595,1761865625.194934,nan,0.300000,0.000195
error,0.051480,1761865625.201820,0.007317,0.300000,0.000195
command,0.079524,1761865625.229864,nan,0.300000,-0.001511
error,0.090857,1761865625.241196,0.007317,0.300000,-0.001511
command,0.110177,1761865625.260517,nan,0.300000,0.005122
error,0.120389,1761865625.270729,0.007317,0.300000,0.005122
command,0.144341,1761865625.294681,nan,0.300000,0.005122
error,0.151253,1761865625.301592,0.007317,0.300000,0.005122
command,0.177383,1761865625.327723,nan,0.300000,0.005122
error,0.184636,1761865625.334975,0.004878,0.300000,0.005122
command,0.213906,1761865625.364246,nan,0.300000,-0.003220
error,0.225399,1761865625.375739,0.007317,0.300000,-0.003220
command,0.242630,1761865625.392970,nan,0.300000,0.011957
error,0.251884,1761865625.402223,0.007317,0.300000,0.011957
command,0.278519,1761865625.428859,nan,0.300000,0.005122
error,0.296488,1761865625.446828,0.007317,0.300000,0.005122
command,0.309313,1761865625.459652,nan,0.300000,0.005122
error,0.319791,1761865625.470130,0.009756,0.300000,0.005122
command,0.341626,1761865625.491965,nan,0.300000,0.013621
error,0.351521,1761865625.501860,0.007317,0.300000,0.013621
command,0.382465,1761865625.532804,nan,0.300000,-0.001324
error,0.392846,1761865625.543186,0.009756,0.300000,-0.001324
command,0.407962,1761865625.558302,nan,0.300000,0.013733
error,0.419466,1761865625.569805,0.009756,0.300000,0.013733
command,0.445005,1761865625.595345,nan,0.300000,0.006829
error,0.460360,1761865625.610699,0.012195,0.300000,0.006829
command,0.474053,1761865625.624393,nan,0.300000,0.015166
error,0.485594,1761865625.635933,0.014634,0.300000,0.015166
command,0.506625,1761865625.656965,nan,0.300000,0.016922
error,0.517472,1761865625.667811,0.014634,0.300000,0.016922
command,0.540245,1761865625.690584,nan,0.300000,0.010244
error,0.557251,1761865625.707590,0.014634,0.300000,0.010244
command,0.572661,1761865625.723001,nan,0.300000,0.010244
error,0.585041,1761865625.735381,0.017073,0.300000,0.010244
command,0.605120,1761865625.755459,nan,0.300000,0.018662
error,0.628642,1761865625.778982,0.019512,0.300000,0.018662
command,0.639817,1761865625.790156,nan,0.300000,0.020166
error,0.652446,1761865625.802786,0.019512,0.300000,0.020166
command,0.671800,1761865625.822140,nan,0.300000,0.013659
error,0.685017,1761865625.835356,0.021951,0.300000,0.013659
command,0.706113,1761865625.856453,nan,0.300000,0.022051
error,0.724888,1761865625.875228,0.021951,0.300000,0.022051
command,0.737861,1761865625.888200,nan,0.300000,0.015366
error,0.751995,1761865625.902334,0.019512,0.300000,0.015366
command,0.773198,1761865625.923537,nan,0.300000,0.007016
error,0.793880,1761865625.944220,0.021951,0.300000,0.007016
command,0.803957,1761865625.954297,nan,0.300000,0.021994
error,0.821258,1761865625.971598,0.024390,0.300000,0.021994
command,0.836213,1761865625.986553,nan,0.300000,0.023740
error,0.853673,1761865626.004013,0.024390,0.300000,0.023740
command,0.869568,1761865626.019908,nan,0.300000,0.017073
error,0.886540,1761865626.036880,0.026829,0.300000,0.017073
command,0.901704,1761865626.052044,nan,0.300000,0.025588
error,0.919268,1761865626.069607,0.029268,0.300000,0.025588
command,0.934827,1761865626.085167,nan,0.300000,0.027076
error,0.959148,1761865626.109488,0.026829,0.300000,0.027076
command,0.968634,1761865626.118973,nan,0.300000,0.012061
error,0.986267,1761865626.136606,0.029268,0.300000,0.012061
command,1.000808,1761865626.151148,nan,0.300000,0.027089
error,1.018840,1761865626.169179,0.031707,0.300000,0.027089
command,1.033977,1761865626.184316,nan,0.300000,0.028812
error,1.051491,1761865626.201830,0.031707,0.300000,0.028812
command,1.067009,1761865626.217348,nan,0.300000,0.022195
error,1.091579,1761865626.241919,0.029268,0.300000,0.022195
command,1.101107,1761865626.251446,nan,0.300000,0.013868
error,1.119895,1761865626.270234,0.026829,0.300000,0.013868
command,1.133374,1761865626.283714,nan,0.300000,0.012126
error,1.151281,1761865626.301621,0.026829,0.300000,0.012126
command,1.166550,1761865626.316889,nan,0.300000,0.018780
error,1.191103,1761865626.341443,0.026829,0.300000,0.018780
command,1.200718,1761865626.351058,nan,0.300000,0.018780
error,1.219207,1761865626.369547,0.024390,0.300000,0.018780
command,1.231862,1761865626.382201,nan,0.300000,0.010270
error,1.251308,1761865626.401648,0.024390,0.300000,0.010270
command,1.264888,1761865626.415227,nan,0.300000,0.017073
error,1.293379,1761865626.443718,0.024390,0.300000,0.017073
command,1.299287,1761865626.449627,nan,0.300000,0.017073
error,1.318736,1761865626.469076,0.012195,0.300000,0.017073
command,1.331056,1761865626.481396,nan,0.300000,-0.024494
error,1.351073,1761865626.501412,0.000000,0.300000,-0.024494
command,1.364126,1761865626.514466,nan,0.300000,-0.033275
error,1.384525,1761865626.534865,-0.017073,0.300000,-0.033275
command,1.397228,1761865626.547568,nan,0.300000,-0.058431
error,1.418465,1761865626.568805,-0.046341,0.300000,-0.058431
command,1.430545,1761865626.580884,nan,0.300000,-0.112017
error,1.459066,1761865626.609406,-0.087805,0.300000,-0.112017
command,1.463827,1761865626.614166,nan,0.300000,-0.176907
error,1.485363,1761865626.635702,-0.139024,0.300000,-0.176907
command,1.496257,1761865626.646596,nan,0.300000,-0.235085
error,1.518116,1761865626.668455,-0.190244,0.300000,-0.235085
command,1.529507,1761865626.679847,nan,0.300000,-0.271856
error,1.557851,1761865626.708190,-0.256098,0.300000,-0.271856
