type,stamp_relative,stamp_absolute,error,linear_x,angular_z
error,0.000000,1761865671.504300,0.063415,0.300000,0.049512
command,0.023595,1761865671.527895,nan,0.300000,0.024343
error,0.024280,1761865671.528580,0.063415,0.300000,0.024343
command,0.056193,1761865671.560493,nan,0.300000,0.044390
error,0.056231,1761865671.560531,0.063415,0.300000,0.044390
command,0.091783,1761865671.596083,nan,0.300000,0.044390
error,0.102986,1761865671.607287,0.058537,0.300000,0.044390
command,0.122966,1761865671.627266,nan,0.300000,0.027926
error,0.123725,1761865671.628025,0.051220,0.300000,0.027926
command,0.155682,1761865671.659982,nan,0.300000,0.015783
error,0.156041,1761865671.660341,0.048780,0.300000,0.015783
command,0.190458,1761865671.694759,nan,0.300000,0.027426
error,0.196661,1761865671.700961,0.043902,0.300000,0.027426
command,0.222068,1761865671.726368,nan,0.300000,0.017633
error,0.222421,1761865671.726721,0.039024,0.300000,0.017633
command,0.256892,1761865671.761192,nan,0.300000,0.013801
error,0.270738,1761865671.775038,0.031707,0.300000,0.013801
command,0.287246,1761865671.791547,nan,0.300000,0.002400
error,0.290117,1761865671.794417,0.029268,0.300000,0.002400
command,0.320432,1761865671.824733,nan,0.300000,0.013844
error,0.322291,1761865671.826591,0.026829,0.300000,0.013844
command,0.355392,1761865671.859692,nan,0.300000,0.012167
error,0.361398,1761865671.865699,0.021951,0.300000,0.012167
command,0.386254,1761865671.890554,nan,0.300000,0.002056
error,0.389146,1761865671.893447,0.017073,0.300000,0.002056
command,0.421005,1761865671.925305,nan,0.300000,-0.001424
error,0.431913,1761865671.936213,0.014634,0.300000,-0.001424
command,0.451746,1761865671.956047,nan,0.300000,0.003563
error,0.457291,1761865671.961591,0.017073,0.300000,0.003563
command,0.485527,1761865671.989827,nan,0.300000,0.018644
error,0.495323,1761865671.999623,0.014634,0.300000,0.018644
command,0.518268,1761865672.022568,nan,0.300000,0.003714
error,0.522879,1761865672.027180,0.017073,0.300000,0.003714
command,0.550923,1761865672.055223,nan,0.300000,0.018653
error,0.555543,1761865672.059844,0.014634,0.300000,0.018653
command,0.586569,1761865672.090870,nan,0.300000,0.003534
error,0.597692,1761865672.101992,0.014634,0.300000,0.003534
command,0.617046,1761865672.121346,nan,0.300000,0.010244
error,0.622969,1761865672.127270,0.014634,0.300000,0.010244
command,0.652132,1761865672.156433,nan,0.300000,0.010244
error,0.663244,1761865672.167544,0.012195,0.300000,0.010244
command,0.682815,1761865672.187116,nan,0.300000,0.001902
error,0.689324,1761865672.193624,0.014634,0.300000,0.001902
command,0.717879,1761865672.222180,nan,0.300000,0.016957
error,0.728914,1761865672.233215,0.014634,0.300000,0.016957
command,0.748835,1761865672.253136,nan,0.300000,0.010244
error,0.757938,1761865672.262238,0.014634,0.300000,0.010244
command,0.781892,1761865672.286193,nan,0.300000,0.010244
error,0.788499,1761865672.292799,0.014634,0.300000,0.010244
command,0.818342,1761865672.322642,nan,0.300000,0.010244
error,0.828634,1761865672.332934,0.017073,0.300000,0.010244
command,0.847808,1761865672.352109,nan,0.300000,0.018637
error,0.856432,1761865672.360732,0.017073,0.300000,0.018637
command,0.882995,1761865672.387296,nan,0.300000,0.011951
error,0.895594,1761865672.399894,0.019512,0.300000,0.011951
command,0.913718,1761865672.418018,nan,0.300000,0.020297
error,0.923813,1761865672.428113,0.019512,0.300000,0.020297
command,0.949635,1761865672.453935,nan,0.300000,0.013659
error,0.962521,1761865672.466821,0.021951,0.300000,0.013659
command,0.979464,1761865672.483764,nan,0.300000,0.021997
error,0.989929,1761865672.494229,0.019512,0.300000,0.021997
command,1.016212,1761865672.520512,nan,0.300000,0.007139
error,1.029031,1761865672.533332,0.019512,0.300000,0.007139
command,1.046030,1761865672.550331,nan,0.300000,0.013659
error,1.056606,1761865672.560906,0.019512,0.300000,0.013659
command,1.078840,1761865672.583140,nan,0.300000,0.013659
error,1.091406,1761865672.595707,0.024390,0.300000,0.013659
command,1.114515,1761865672.618815,nan,0.300000,0.030511
error,1.128670,1761865672.632971,0.024390,0.300000,0.030511
command,1.145642,1761865672.649942,nan,0.300000,0.017073
error,1.160114,1761865672.664414,0.026829,0.300000,0.017073
command,1.177379,1761865672.681680,nan,0.300000,0.025552
error,1.191482,1761865672.695783,0.021951,0.300000,0.025552
command,1.211364,1761865672.715664,nan,0.300000,0.002386
error,1.222821,1761865672.727121,0.024390,0.300000,0.002386
command,1.245220,1761865672.749520,nan,0.300000,0.023869
error,1.266694,1761865672.770994,0.024390,0.300000,0.023869
command,1.277231,1761865672.781531,nan,0.300000,0.017073
error,1.293013,1761865672.797313,0.026829,0.300000,0.017073
command,1.310032,1761865672.814332,nan,0.300000,0.025310
error,1.322534,1761865672.826834,0.031707,0.300000,0.025310
command,1.343431,1761865672.847731,nan,0.300000,0.035610
error,1.358487,1761865672.862788,0.029268,0.300000,0.035610
command,1.376340,1761865672.880641,nan,0.300000,0.013854
error,1.390623,1761865672.894923,0.031707,0.300000,0.013854
command,1.410115,1761865672.914416,nan,0.300000,0.028782
error,1.426819,1761865672.931119,0.031707,0.300000,0.028782
command,1.441304,1761865672.945604,nan,0.300000,0.022195
error,1.459564,1761865672.963864,0.034146,0.300000,0.022195
command,1.475512,1761865672.979812,nan,0.300000,0.030430
error,1.490364,1761865672.994664,0.034146,0.300000,0.030430
command,1.507291,1761865673.011592,nan,0.300000,0.023902
error,1.524609,1761865673.028909,0.034146,0.300000,0.023902
command,1.541323,1761865673.045623,nan,0.300000,0.023902
error,1.555690,1761865673.059991,0.024390,0.300000,0.023902
command,1.574234,1761865673.078534,nan,0.300000,-0.009531
error,1.590383,1761865673.094683,0.009756,0.300000,-0.009531
command,1.606364,1761865673.110664,nan,0.300000,-0.033530
error,1.629809,1761865673.134109,-0.007317,0.300000,-0.033530
command,1.640230,1761865673.144530,nan,0.300000,-0.051006
error,1.657962,1761865673.162263,-0.036585,0.300000,-0.051006
command,1.672666,1761865673.176966,nan,0.300000,-0.105799
error,1.690019,1761865673.194319,-0.080488,0.300000,-0.105799
command,1.704767,1761865673.209068,nan,0.300000,-0.178352
error,1.722386,1761865673.226686,-0.129268,0.300000,-0.178352
command,1.737837,1761865673.242137,nan,0.300000,-0.222711
error,1.763127,1761865673.267427,-0.190244,0.300000,-0.222711
command,1.772487,1761865673.276788,nan,0.300000,-0.297398
