type,stamp_relative,stamp_absolute,error,linear_x,angular_z
error,0.000000,1761865578.684157,-0.029268,nan,nan
command,0.014091,1761865578.698248,nan,0.300000,0.367713
error,0.026830,1761865578.710986,0.126829,0.300000,0.367713
command,0.050194,1761865578.734350,nan,0.300000,0.512828
error,0.065786,1761865578.749943,0.270732,0.300000,0.512828
command,0.079098,1761865578.763255,nan,0.300000,0.589341
error,0.096591,1761865578.780748,0.370732,0.300000,0.589341
command,0.112941,1761865578.797097,nan,0.300000,0.530260
error,0.126131,1761865578.810287,0.417073,0.300000,0.530260
command,0.146038,1761865578.830194,nan,0.300000,0.419041
error,0.168384,1761865578.852541,0.387805,0.300000,0.419041
command,0.178905,1761865578.863062,nan,0.300000,0.191938
error,0.195825,1761865578.879981,0.302439,0.300000,0.191938
command,0.213041,1761865578.897197,nan,0.300000,-0.023323
error,0.233734,1761865578.917891,0.187805,0.300000,-0.023323
command,0.244417,1761865578.928574,nan,0.300000,-0.179713
error,0.262822,1761865578.946978,0.063415,0.300000,-0.179713
command,0.277932,1761865578.962089,nan,0.300000,-0.289592
error,0.295439,1761865578.979595,-0.041463,0.300000,-0.289592
command,0.310143,1761865578.994300,nan,0.300000,-0.321204
error,0.333697,1761865579.017854,-0.121951,0.300000,-0.321204
command,0.345074,1761865579.029231,nan,0.300000,-0.301941
error,0.360093,1761865579.044249,-0.185366,0.300000,-0.301941
command,0.376279,1761865579.060436,nan,0.300000,-0.303506
error,0.400354,1761865579.084511,-0.226829,0.300000,-0.303506
command,0.409868,1761865579.094024,nan,0.300000,-0.272704
error,0.428690,1761865579.112847,-0.246341,0.300000,-0.272704
command,0.442054,1761865579.126211,nan,0.300000,-0.225488
error,0.459713,1761865579.143869,-0.256098,0.300000,-0.225488
command,0.475019,1761865579.159176,nan,0.300000,-0.205834
error,0.493255,1761865579.177412,-0.256098,0.300000,-0.205834
command,0.508158,1761865579.192315,nan,0.300000,-0.179268
error,0.526279,1761865579.210435,-0.246341,0.300000,-0.179268
command,0.541149,1761865579.225306,nan,0.300000,-0.145935
error,0.566546,1761865579.250703,-0.224390,0.300000,-0.145935
command,0.575381,1761865579.259537,nan,0.300000,-0.097536
error,0.595236,1761865579.279393,-0.200000,0.300000,-0.097536
command,0.607526,1761865579.291683,nan,0.300000,-0.073706
error,0.626216,1761865579.310373,-0.170732,0.300000,-0.073706
command,0.640651,1761865579.324807,nan,0.300000,-0.039969
error,0.659518,1761865579.343675,-0.136585,0.300000,-0.039969
command,0.672779,1761865579.356936,nan,0.300000,0.000095
error,0.700052,1761865579.384209,-0.102439,0.300000,0.000095
command,0.707515,1761865579.391671,nan,0.300000,0.020978
error,0.726914,1761865579.411071,-0.068293,0.300000,0.020978
command,0.738742,1761865579.422899,nan,0.300000,0.046093
error,0.768569,1761865579.452726,-0.036585,0.300000,0.046093
command,0.772795,1761865579.456952,nan,0.300000,0.060225
error,0.793715,1761865579.477872,-0.007317,0.300000,0.060225
command,0.804721,1761865579.488878,nan,0.300000,0.075182
error,0.825442,1761865579.509598,0.019512,0.300000,0.075182
command,0.837833,1761865579.521990,nan,0.300000,0.086534
error,0.859133,1761865579.543290,0.043902,0.300000,0.086534
command,0.871064,1761865579.555221,nan,0.300000,0.097073
error,0.899245,1761865579.583401,0.063415,0.300000,0.097073
command,0.905548,1761865579.589704,nan,0.300000,0.097275
error,0.928154,1761865579.612310,0.082927,0.300000,0.097275
command,0.938221,1761865579.622377,nan,0.300000,0.111506
error,0.959104,1761865579.643261,0.095122,0.300000,0.111506
command,0.970356,1761865579.654512,nan,0.300000,0.099555
error,0.991961,1761865579.676118,0.107317,0.300000,0.099555
command,1.003596,1761865579.687753,nan,0.300000,0.108139
error,1.025317,1761865579.709474,0.114634,0.300000,0.108139
command,1.036156,1761865579.720313,nan,0.300000,0.100691
error,1.066639,1761865579.750796,0.124390,0.300000,0.100691
command,1.070230,1761865579.754387,nan,0.300000,0.080244
error,1.095402,1761865579.779558,0.126829,0.300000,0.080244
command,1.103811,1761865579.787968,nan,0.300000,0.122303
error,1.125682,1761865579.809839,0.126829,0.300000,0.122303
command,1.135784,1761865579.819941,nan,0.300000,0.088780
error,1.166393,1761865579.850549,0.126829,0.300000,0.088780
command,1.168980,1761865579.853137,nan,0.300000,0.088780
error,1.193095,1761865579.877252,0.126829,0.300000,0.088780
command,1.202913,1761865579.887070,nan,0.300000,0.088780
error,1.225868,1761865579.910025,0.119512,0.300000,0.088780
command,1.235199,1761865579.919356,nan,0.300000,0.063365
error,1.268135,1761865579.952292,0.109756,0.300000,0.063365
command,1.268965,1761865579.953122,nan,0.300000,0.083659
error,1.293946,1761865579.978102,0.097561,0.300000,0.083659
command,1.301841,1761865579.985998,nan,0.300000,0.008705
error,1.333042,1761865580.017198,0.090244,0.300000,0.008705
command,1.334318,1761865580.018475,nan,0.300000,0.068293
error,1.359699,1761865580.043856,0.080488,0.300000,0.068293
command,1.367646,1761865580.051803,nan,0.300000,0.010484
command,1.399834,1761865580.083991,nan,0.300000,0.056341
error,1.400886,1761865580.085043,0.065854,0.300000,0.056341
error,1.428027,1761865580.112184,0.056098,0.300000,0.056341
command,1.432533,1761865580.116690,nan,0.300000,-0.027272
error,1.459513,1761865580.143669,0.043902,0.300000,-0.027272
command,1.465971,1761865580.150127,nan,0.300000,-0.002550
error,1.493318,1761865580.177474,0.031707,0.300000,-0.002550
command,1.499362,1761865580.183519,nan,0.300000,-0.010595
error,1.525964,1761865580.210121,0.021951,0.300000,-0.010595
command,1.532511,1761865580.216668,nan,0.300000,-0.010911
error,1.566913,1761865580.251070,0.012195,0.300000,-0.010911
command,1.566969,1761865580.251126,nan,0.300000,0.015366
error,1.594133,1761865580.278290,0.004878,0.300000,0.015366
command,1.598985,1761865580.283141,nan,0.300000,-0.043467
error,1.625602,1761865580.309759,0.000000,0.300000,-0.043467
command,1.630427,1761865580.314583,nan,0.300000,-0.013601
error,1.658919,1761865580.343076,-0.019512,0.300000,-0.013601
command,1.665341,1761865580.349497,nan,0.300000,-0.065484
command,1.697440,1761865580.381597,nan,0.300000,-0.013659
error,1.700151,1761865580.384307,-0.036585,0.300000,-0.013659
error,1.726259,1761865580.410415,-0.058537,0.300000,-0.013659
command,1.730735,1761865580.414892,nan,0.300000,-0.147122
command,1.763376,1761865580.447533,nan,0.300000,-0.040976
error,1.767135,1761865580.451292,-0.090244,0.300000,-0.040976
error,1.793339,1761865580.477495,-0.131707,0.300000,-0.040976
command,1.796357,1761865580.480514,nan,0.300000,-0.150038
command,1.829682,1761865580.513839,nan,0.300000,-0.204874
error,1.831755,1761865580.515912,-0.182927,0.300000,-0.204874
error,1.860837,1761865580.544993,-0.236585,0.300000,-0.204874
command,1.862800,1761865580.546957,nan,0.300000,-0.266912
error,1.894951,1761865580.579107,-0.309756,0.300000,-0.266912
command,1.895451,1761865580.579608,nan,0.300000,-0.312037
command,1.928772,1761865580.612929,nan,0.300000,-0.415879
error,1.934194,1761865580.618351,-0.378049,0.300000,-0.415879
command,1.961352,1761865580.645508,nan,0.300000,-0.455887
error,1.961383,1761865580.645540,-0.492683,0.300000,-0.455887
command,1.994142,1761865580.678298,nan,0.300000,-0.651910
error,1.999006,1761865580.683162,-0.492683,0.300000,-0.651910
error,2.027524,1761865580.711681,-0.492683,0.300000,-0.651910
command,2.027562,1761865580.711719,nan,0.300000,-0.344878
command,2.059715,1761865580.743872,nan,0.300000,-0.344878
error,2.066458,1761865580.750615,-0.492683,0.300000,-0.344878
command,2.092570,1761865580.776727,nan,0.300000,-0.344878
error,2.095397,1761865580.779554,-0.492683,0.300000,-0.344878
command,2.127506,1761865580.811663,nan,0.300000,-0.344878
error,2.132334,1761865580.816490,-0.492683,0.300000,-0.344878
error,2.159692,1761865580.843849,-0.492683,0.300000,-0.344878
command,2.160174,1761865580.844331,nan,0.300000,-0.344878
command,2.192974,1761865580.877131,nan,0.300000,-0.344878
error,2.199034,1761865580.883190,-0.492683,0.300000,-0.344878
command,2.225240,1761865580.909396,nan,0.300000,-0.344878
error,2.226328,1761865580.910485,-0.395122,0.300000,-0.344878
command,2.261016,1761865580.945173,nan,0.300000,-0.014592
error,2.273031,1761865580.957188,-0.319512,0.300000,-0.014592
command,2.290592,1761865580.974749,nan,0.300000,-0.012920
error,2.294229,1761865580.978385,-0.231707,0.300000,-0.012920
command,2.325227,1761865581.009384,nan,0.300000,0.071529
error,2.326555,1761865581.010711,-0.139024,0.300000,0.071529
command,2.357777,1761865581.041933,nan,0.300000,0.158353
error,2.366057,1761865581.050213,-0.065854,0.300000,0.158353
command,2.389585,1761865581.073741,nan,0.300000,0.156111
error,2.392847,1761865581.077004,-0.012195,0.300000,0.156111
command,2.426220,1761865581.110377,nan,0.300000,0.134124
error,2.440230,1761865581.124387,0.036585,0.300000,0.134124
command,2.455329,1761865581.139486,nan,0.300000,0.161932
error,2.460281,1761865581.144438,0.085366,0.300000,0.161932
command,2.489271,1761865581.173428,nan,0.300000,0.190554
error,2.493139,1761865581.177296,0.131707,0.300000,0.190554
command,2.521984,1761865581.206141,nan,0.300000,0.219390
error,2.525267,1761865581.209424,0.190244,0.300000,0.219390
command,2.554799,1761865581.238956,nan,0.300000,0.294063
error,2.558651,1761865581.242808,0.256098,0.300000,0.294063
command,2.590316,1761865581.274473,nan,0.300000,0.360258
error,2.601182,1761865581.285339,0.339024,0.300000,0.360258
command,2.622907,1761865581.307064,nan,0.300000,0.459634
error,2.626093,1761865581.310249,0.436585,0.300000,0.459634
command,2.656872,1761865581.341028,nan,0.300000,0.572868
error,2.671000,1761865581.355156,0.575610,0.300000,0.572868
command,2.687569,1761865581.371726,nan,0.300000,0.775981
error,2.694152,1761865581.378308,0.575610,0.300000,0.775981
command,2.720455,1761865581.404612,nan,0.300000,0.402927
error,2.725114,1761865581.409271,0.575610,0.300000,0.402927
command,2.756194,1761865581.440351,nan,0.300000,0.402927
error,2.767615,1761865581.451771,0.575610,0.300000,0.402927
command,2.786076,1761865581.470233,nan,0.300000,0.402927
error,2.792726,1761865581.476882,0.575610,0.300000,0.402927
command,2.820536,1761865581.504692,nan,0.300000,0.402927
error,2.832386,1761865581.516543,0.536585,0.300000,0.402927
command,2.852467,1761865581.536623,nan,0.300000,0.270441
error,2.859232,1761865581.543389,0.414634,0.300000,0.270441
command,2.887635,1761865581.571791,nan,0.300000,-0.042220
error,2.899894,1761865581.584050,0.278049,0.300000,-0.042220
command,2.918792,1761865581.602949,nan,0.300000,-0.176861
error,2.927724,1761865581.611881,0.141463,0.300000,-0.176861
command,2.954061,1761865581.638218,nan,0.300000,-0.282799
error,2.965236,1761865581.649393,0.019512,0.300000,-0.282799
command,2.983551,1761865581.667707,nan,0.300000,-0.321093
error,2.992553,1761865581.676710,-0.060976,0.300000,-0.321093
command,3.020638,1761865581.704795,nan,0.300000,-0.255756
error,3.031644,1761865581.715801,-0.107317,0.300000,-0.255756
command,3.050488,1761865581.734644,nan,0.300000,-0.202052
error,3.059154,1761865581.743310,-0.121951,0.300000,-0.202052
command,3.086835,1761865581.770992,nan,0.300000,-0.125223
error,3.106729,1761865581.790886,-0.117073,0.300000,-0.125223
command,3.117011,1761865581.801168,nan,0.300000,-0.068645
