type,stamp_relative,stamp_absolute,error,linear_x,angular_z
error,0.000000,1761865648.131021,0.019512,nan,nan
command,0.000041,1761865648.131062,nan,0.300000,-0.159866
command,0.035178,1761865648.166199,nan,0.300000,0.120260
error,0.040853,1761865648.171873,0.070732,0.300000,0.120260
command,0.066021,1761865648.197042,nan,0.300000,0.186977
error,0.066904,1761865648.197925,0.117073,0.300000,0.186977
command,0.100255,1761865648.231276,nan,0.300000,0.210356
error,0.106305,1761865648.237326,0.170732,0.300000,0.210356
command,0.130841,1761865648.261862,nan,0.300000,0.265551
error,0.135707,1761865648.266728,0.207317,0.300000,0.265551
command,0.164738,1761865648.295759,nan,0.300000,0.246449
error,0.173353,1761865648.304374,0.231707,0.300000,0.246449
command,0.197678,1761865648.328699,nan,0.300000,0.226902
error,0.200458,1761865648.331479,0.241463,0.300000,0.226902
command,0.231145,1761865648.362165,nan,0.300000,0.195609
error,0.240252,1761865648.371273,0.241463,0.300000,0.195609
command,0.262888,1761865648.393909,nan,0.300000,0.169024
error,0.266836,1761865648.397857,0.226829,0.300000,0.169024
command,0.299170,1761865648.430190,nan,0.300000,0.118530
error,0.308713,1761865648.439734,0.207317,0.300000,0.118530
command,0.329684,1761865648.460705,nan,0.300000,0.093291
error,0.333801,1761865648.464821,0.182927,0.300000,0.093291
command,0.364811,1761865648.495831,nan,0.300000,0.061393
error,0.370240,1761865648.501261,0.148780,0.300000,0.061393
command,0.395533,1761865648.526554,nan,0.300000,0.011558
error,0.399670,1761865648.530690,0.117073,0.300000,0.011558
command,0.430465,1761865648.561486,nan,0.300000,-0.005503
error,0.440556,1761865648.571577,0.082927,0.300000,-0.005503
command,0.461573,1761865648.592593,nan,0.300000,-0.034959
error,0.469030,1761865648.600051,0.053659,0.300000,-0.034959
command,0.494259,1761865648.625280,nan,0.300000,-0.041988
error,0.499512,1761865648.630533,0.021951,0.300000,-0.041988
command,0.526911,1761865648.657931,nan,0.300000,-0.071785
error,0.532756,1761865648.663776,-0.004878,0.300000,-0.071785
command,0.560078,1761865648.691099,nan,0.300000,-0.077467
error,0.566159,1761865648.697180,-0.029268,0.300000,-0.077467
command,0.596490,1761865648.727510,nan,0.300000,-0.086475
error,0.607103,1761865648.738124,-0.051220,0.300000,-0.086475
command,0.626139,1761865648.757159,nan,0.300000,-0.095944
error,0.636002,1761865648.767023,-0.070732,0.300000,-0.095944
command,0.659300,1761865648.790320,nan,0.300000,-0.102806
error,0.665941,1761865648.796962,-0.080488,0.300000,-0.102806
command,0.694551,1761865648.825572,nan,0.300000,-0.082709
error,0.705522,1761865648.836543,-0.090244,0.300000,-0.082709
command,0.725738,1761865648.856758,nan,0.300000,-0.089612
error,0.733178,1761865648.864199,-0.095122,0.300000,-0.089612
command,0.757906,1761865648.888927,nan,0.300000,-0.080211
error,0.766056,1761865648.897076,-0.097561,0.300000,-0.080211
command,0.791911,1761865648.922932,nan,0.300000,-0.074937
error,0.808259,1761865648.939279,-0.097561,0.300000,-0.074937
command,0.824315,1761865648.955336,nan,0.300000,-0.068293
error,0.834852,1761865648.965872,-0.095122,0.300000,-0.068293
command,0.860512,1761865648.991532,nan,0.300000,-0.059886
error,0.872746,1761865649.003767,-0.087805,0.300000,-0.059886
command,0.889761,1761865649.020782,nan,0.300000,-0.041327
error,0.899994,1761865649.031015,-0.080488,0.300000,-0.041327
command,0.925831,1761865649.056851,nan,0.300000,-0.036234
error,0.938689,1761865649.069710,-0.073171,0.300000,-0.036234
command,0.956242,1761865649.087263,nan,0.300000,-0.031696
error,0.968122,1761865649.099143,-0.063415,0.300000,-0.031696
command,0.989014,1761865649.120035,nan,0.300000,-0.017523
error,0.999515,1761865649.130535,-0.051220,0.300000,-0.017523
command,1.021628,1761865649.152649,nan,0.300000,-0.002404
error,1.040146,1761865649.171167,-0.036585,0.300000,-0.002404
command,1.055134,1761865649.186155,nan,0.300000,0.013604
error,1.066389,1761865649.197409,-0.024390,0.300000,0.013604
command,1.090475,1761865649.221495,nan,0.300000,0.016660
error,1.106015,1761865649.237036,-0.007317,0.300000,0.016660
command,1.121456,1761865649.252477,nan,0.300000,0.041293
error,1.134798,1761865649.265819,0.007317,0.300000,0.041293
command,1.154204,1761865649.285225,nan,0.300000,0.044662
error,1.166134,1761865649.297154,0.019512,0.300000,0.044662
command,1.186797,1761865649.317817,nan,0.300000,0.047204
error,1.199386,1761865649.330406,0.036585,0.300000,0.047204
command,1.220867,1761865649.351888,nan,0.300000,0.071034
error,1.233588,1761865649.364609,0.048780,0.300000,0.071034
command,1.252934,1761865649.383955,nan,0.300000,0.068654
