type,stamp_relative,stamp_absolute,error,linear_x,angular_z
command,1.766985,1761865603.745527,nan,0.300000,-0.432928
command,1.798913,1761865603.777455,nan,0.300000,-0.346585
error,1.803483,1761865603.782025,-0.443902,0.300000,-0.346585
error,1.827955,1761865603.806496,-0.397561,0.300000,-0.346585
command,1.832157,1761865603.810699,nan,0.300000,-0.017339
error,1.860530,1761865603.839072,-0.331707,0.300000,-0.017339
command,1.866746,1761865603.845288,nan,0.300000,-0.054580
error,1.893750,1761865603.872292,-0.258537,0.300000,-0.054580
command,1.898410,1761865603.876952,nan,0.300000,0.022750
error,1.926912,1761865603.905454,-0.224390,0.300000,0.022750
command,1.931555,1761865603.910097,nan,0.300000,-0.063431
command,1.965561,1761865603.944103,nan,0.300000,-0.157073
error,1.968723,1761865603.947265,-0.214634,0.300000,-0.157073
error,1.994652,1761865603.973194,-0.231707,0.300000,-0.157073
command,1.999295,1761865603.977837,nan,0.300000,-0.124051
command,2.031004,1761865604.009546,nan,0.300000,-0.209198
error,2.034692,1761865604.013234,-0.243902,0.300000,-0.209198
error,2.059988,1761865604.038530,-0.234146,0.300000,-0.209198
command,2.063442,1761865604.041984,nan,0.300000,-0.170480
command,2.096650,1761865604.075192,nan,0.300000,-0.163902
error,2.099790,1761865604.078331,-0.204878,0.300000,-0.163902
error,2.130749,1761865604.109291,-0.153659,0.300000,-0.163902
command,2.130810,1761865604.109352,nan,0.300000,-0.063684
error,2.160300,1761865604.138842,-0.090244,0.300000,-0.063684
command,2.162942,1761865604.141484,nan,0.300000,0.030902
command,2.195761,1761865604.174302,nan,0.300000,0.109328
error,2.201023,1761865604.179565,-0.004878,0.300000,0.109328
error,2.227453,1761865604.205995,0.087805,0.300000,0.109328
command,2.230280,1761865604.208822,nan,0.300000,0.221554
command,2.262903,1761865604.241445,nan,0.300000,0.329225
error,2.266959,1761865604.245501,0.192683,0.300000,0.329225
command,2.294845,1761865604.273387,nan,0.300000,0.418675
error,2.296318,1761865604.274860,0.314634,0.300000,0.418675
error,2.326888,1761865604.305430,0.458537,0.300000,0.418675
command,2.328974,1761865604.307516,nan,0.300000,0.547597
command,2.362031,1761865604.340572,nan,0.300000,0.713460
error,2.366632,1761865604.345173,0.458537,0.300000,0.713460
command,2.394002,1761865604.372544,nan,0.300000,0.320976
error,2.394380,1761865604.372922,0.458537,0.300000,0.320976
command,2.427341,1761865604.405883,nan,0.300000,0.320976
error,2.434660,1761865604.413202,0.458537,0.300000,0.320976
command,2.459293,1761865604.437835,nan,0.300000,0.320976
error,2.462908,1761865604.441449,0.458537,0.300000,0.320976
command,2.492414,1761865604.470956,nan,0.300000,0.320976
error,2.493463,1761865604.472005,0.458537,0.300000,0.320976
command,2.525734,1761865604.504276,nan,0.300000,0.320976
error,2.527695,1761865604.506237,0.458537,0.300000,0.320976
command,2.561293,1761865604.539835,nan,0.300000,0.320976
error,2.567259,1761865604.545801,0.570732,0.300000,0.320976
command,2.591061,1761865604.569603,nan,0.300000,0.714212
error,2.594651,1761865604.573193,0.473171,0.300000,0.714212
command,2.628032,1761865604.606574,nan,0.300000,0.072578
error,2.642640,1761865604.621182,0.370732,0.300000,0.072578
command,2.657386,1761865604.635928,nan,0.300000,-0.025177
error,2.661605,1761865604.640147,0.243902,0.300000,-0.025177
command,2.689894,1761865604.668436,nan,0.300000,-0.178316
error,2.694318,1761865604.672860,0.090244,0.300000,-0.178316
command,2.723572,1761865604.702114,nan,0.300000,-0.347921
error,2.726937,1761865604.705479,-0.026829,0.300000,-0.347921
command,2.759735,1761865604.738277,nan,0.300000,-0.340152
error,2.767736,1761865604.746278,-0.112195,0.300000,-0.340152
command,2.789436,1761865604.767978,nan,0.300000,-0.312377
error,2.797079,1761865604.775621,-0.163415,0.300000,-0.312377
command,2.822334,1761865604.800876,nan,0.300000,-0.254356
error,2.827158,1761865604.805700,-0.175610,0.300000,-0.254356
command,2.857799,1761865604.836341,nan,0.300000,-0.156377
error,2.873090,1761865604.851632,-0.158537,0.300000,-0.156377
command,2.888467,1761865604.867009,nan,0.300000,-0.064822
error,2.895544,1761865604.874086,-0.141463,0.300000,-0.064822
command,2.921179,1761865604.899720,nan,0.300000,-0.052397
error,2.927367,1761865604.905909,-0.121951,0.300000,-0.052397
command,2.957783,1761865604.936325,nan,0.300000,-0.033343
error,2.975045,1761865604.953587,-0.107317,0.300000,-0.033343
command,2.987988,1761865604.966530,nan,0.300000,-0.034544
error,2.996130,1761865604.974671,-0.097561,0.300000,-0.034544
command,3.020894,1761865604.999435,nan,0.300000,-0.041950
error,3.027851,1761865605.006393,-0.090244,0.300000,-0.041950
command,3.057589,1761865605.036130,nan,0.300000,-0.043162
error,3.066113,1761865605.044655,-0.100000,0.300000,-0.043162
command,3.087061,1761865605.065603,nan,0.300000,-0.096547
error,3.093843,1761865605.072384,-0.124390,0.300000,-0.096547
command,3.122920,1761865605.101462,nan,0.300000,-0.153259
error,3.135838,1761865605.114380,-0.153659,0.300000,-0.153259
command,3.152870,1761865605.131412,nan,0.300000,-0.188234
error,3.161635,1761865605.140177,-0.190244,0.300000,-0.188234
command,3.188743,1761865605.167285,nan,0.300000,-0.233022
error,3.201026,1761865605.179568,-0.236585,0.300000,-0.233022
command,3.218509,1761865605.197051,nan,0.300000,-0.293157
error,3.227634,1761865605.206176,-0.285366,0.300000,-0.293157
command,3.254112,1761865605.232654,nan,0.300000,-0.332799
error,3.272661,1761865605.251203,-0.343902,0.300000,-0.332799
command,3.284656,1761865605.263198,nan,0.300000,-0.398107
error,3.296622,1761865605.275164,-0.414634,0.300000,-0.398107
command,3.317762,1761865605.296304,nan,0.300000,-0.485450
error,3.326898,1761865605.305440,-0.482927,0.300000,-0.485450
command,3.353405,1761865605.331947,nan,0.300000,-0.523776
error,3.366581,1761865605.345123,-0.539024,0.300000,-0.523776
command,3.384004,1761865605.362546,nan,0.300000,-0.528413
error,3.394490,1761865605.373031,-0.551220,0.300000,-0.528413
command,3.416735,1761865605.395277,nan,0.300000,-0.419319
error,3.426771,1761865605.405313,-0.512195,0.300000,-0.419319
command,3.449586,1761865605.428127,nan,0.300000,-0.251473
error,3.468301,1761865605.446843,-0.429268,0.300000,-0.251473
command,3.483024,1761865605.461566,nan,0.300000,-0.075651
error,3.493996,1761865605.472537,-0.314634,0.300000,-0.075651
command,3.518918,1761865605.497460,nan,0.300000,0.099280
error,3.533760,1761865605.512301,-0.200000,0.300000,0.099280
command,3.548555,1761865605.527097,nan,0.300000,0.166742
error,3.560606,1761865605.539148,-0.100000,0.300000,0.166742
command,3.585501,1761865605.564043,nan,0.300000,0.202402
error,3.600536,1761865605.579078,-0.046341,0.300000,0.202402
command,3.615325,1761865605.593867,nan,0.300000,0.112582
error,3.629626,1761865605.608168,-0.029268,0.300000,0.112582
command,3.647176,1761865605.625718,nan,0.300000,0.027481
error,3.660176,1761865605.638717,-0.056098,0.300000,0.027481
command,3.680962,1761865605.659504,nan,0.300000,-0.110405
error,3.700318,1761865605.678860,-0.104878,0.300000,-0.110405
command,3.713750,1761865605.692292,nan,0.300000,-0.208412
error,3.728238,1761865605.706779,-0.187805,0.300000,-0.208412
command,3.749588,1761865605.728130,nan,0.300000,-0.357109
error,3.766771,1761865605.745313,-0.295122,0.300000,-0.357109
command,3.778827,1761865605.757369,nan,0.300000,-0.502336
error,3.796698,1761865605.775239,-0.429268,0.300000,-0.502336
command,3.812844,1761865605.791386,nan,0.300000,-0.661516
