type,stamp_relative,stamp_absolute,error,linear_x,angular_z
error,0.000000,1761865553.974704,-0.090244,0.000000,0.000000
command,0.007820,1761865553.982524,nan,0.250000,-0.063171
error,0.018455,1761865553.993159,-0.100000,0.250000,-0.063171
error,0.040883,1761865554.015586,-0.119512,0.250000,-0.063171
command,0.041212,1761865554.015916,nan,0.250000,-0.096455
command,0.072173,1761865554.046876,nan,0.250000,-0.138007
error,0.075693,1761865554.050396,-0.375610,0.250000,-0.138007
command,0.106734,1761865554.081437,nan,0.250000,-0.946949
error,0.106764,1761865554.081467,-0.375610,0.250000,-0.946949
command,0.139964,1761865554.114667,nan,0.250000,-0.262927
error,0.148410,1761865554.123114,-0.375610,0.250000,-0.262927
command,0.170975,1761865554.145679,nan,0.250000,-0.262927
error,0.174754,1761865554.149458,-0.375610,0.250000,-0.262927
command,0.204843,1761865554.179547,nan,0.250000,-0.262927
error,0.213540,1761865554.188243,-0.375610,0.250000,-0.262927
command,0.236780,1761865554.211484,nan,0.250000,-0.262927
error,0.240206,1761865554.214909,-0.375610,0.250000,-0.262927
command,0.272855,1761865554.247559,nan,0.250000,-0.262927
error,0.279203,1761865554.253906,0.241463,0.250000,-0.262927
command,0.302971,1761865554.277674,nan,0.250000,1.000000
error,0.310525,1761865554.285228,0.339024,0.250000,1.000000
command,0.335918,1761865554.310622,nan,0.250000,0.501661
error,0.339917,1761865554.314621,0.339024,0.250000,0.501661
command,0.368954,1761865554.343658,nan,0.250000,0.237317
error,0.373139,1761865554.347843,0.339024,0.250000,0.237317
command,0.405794,1761865554.380497,nan,0.250000,0.237317
error,0.413549,1761865554.388252,0.339024,0.250000,0.237317
command,0.435462,1761865554.410166,nan,0.250000,0.237317
error,0.440246,1761865554.414950,0.339024,0.250000,0.237317
command,0.471332,1761865554.446036,nan,0.250000,0.237317
error,0.487241,1761865554.461944,0.339024,0.250000,0.237317
command,0.501134,1761865554.475838,nan,0.250000,0.237317
error,0.507780,1761865554.482484,0.339024,0.250000,0.237317
command,0.534430,1761865554.509133,nan,0.250000,0.237317
error,0.540363,1761865554.515066,0.339024,0.250000,0.237317
command,0.570648,1761865554.545352,nan,0.250000,0.237317
error,0.579577,1761865554.554280,0.339024,0.250000,0.237317
command,0.600842,1761865554.575545,nan,0.250000,0.237317
error,0.607855,1761865554.582559,0.339024,0.250000,0.237317
command,0.636630,1761865554.611334,nan,0.250000,0.237317
error,0.654242,1761865554.628945,0.339024,0.250000,0.237317
command,0.667007,1761865554.641711,nan,0.250000,0.237317
error,0.674252,1761865554.648956,0.339024,0.250000,0.237317
command,0.699306,1761865554.674009,nan,0.250000,0.237317
error,0.706896,1761865554.681599,0.602439,0.250000,0.237317
command,0.732634,1761865554.707338,nan,0.250000,1.000000
error,0.740320,1761865554.715024,0.448780,0.250000,1.000000
command,0.768808,1761865554.743512,nan,0.250000,-0.102480
error,0.779237,1761865554.753940,0.292683,0.250000,-0.102480
command,0.798280,1761865554.772983,nan,0.250000,-0.222523
error,0.809541,1761865554.784244,0.109756,0.250000,-0.222523
command,0.831624,1761865554.806327,nan,0.250000,-0.420833
error,0.839914,1761865554.814618,-0.121951,0.250000,-0.420833
command,0.867781,1761865554.842484,nan,0.250000,-0.708919
error,0.885197,1761865554.859901,-0.304878,0.250000,-0.708919
command,0.897444,1761865554.872147,nan,0.250000,-0.723264
error,0.907556,1761865554.882260,-0.451219,0.250000,-0.723264
command,0.931845,1761865554.906549,nan,0.250000,-0.713277
error,0.946506,1761865554.921209,-0.485366,0.250000,-0.713277
command,0.963189,1761865554.937893,nan,0.250000,-0.432588
error,0.975489,1761865554.950192,-0.407317,0.250000,-0.432588
command,0.997188,1761865554.971891,nan,0.250000,-0.069275
error,1.012840,1761865554.987543,-0.256098,0.250000,-0.069275
command,1.029655,1761865555.004358,nan,0.250000,0.223272
error,1.040195,1761865555.014899,-0.082927,0.250000,0.223272
command,1.066239,1761865555.040942,nan,0.250000,0.416877
error,1.080773,1761865555.055477,0.090244,0.250000,0.416877
command,1.095391,1761865555.070095,nan,0.250000,0.531854
error,1.106905,1761865555.081608,0.219512,0.250000,0.531854
command,1.128338,1761865555.103042,nan,0.250000,0.512695
error,1.143881,1761865555.118584,0.297561,0.250000,0.512695
command,1.160934,1761865555.135638,nan,0.250000,0.421046
error,1.176354,1761865555.151057,0.295122,0.250000,0.421046
command,1.197995,1761865555.172698,nan,0.250000,0.200064
error,1.214135,1761865555.188838,0.231707,0.250000,0.200064
command,1.227755,1761865555.202459,nan,0.250000,-0.011264
error,1.240158,1761865555.214861,0.129268,0.250000,-0.011264
command,1.264508,1761865555.239212,nan,0.250000,-0.190708
error,1.280612,1761865555.255316,0.007317,0.250000,-0.190708
command,1.293811,1761865555.268514,nan,0.250000,-0.324264
error,1.311685,1761865555.286389,-0.097561,0.250000,-0.324264
command,1.326830,1761865555.301533,nan,0.250000,-0.356475
error,1.340356,1761865555.315059,-0.192683,0.250000,-0.356475
command,1.361009,1761865555.335712,nan,0.250000,-0.394212
error,1.380690,1761865555.355393,-0.258537,0.250000,-0.394212
command,1.392588,1761865555.367292,nan,0.250000,-0.359706
error,1.409573,1761865555.384276,-0.282927,0.250000,-0.359706
command,1.424914,1761865555.399618,nan,0.250000,-0.265641
error,1.442279,1761865555.416983,-0.273171,0.250000,-0.265641
command,1.458027,1761865555.432731,nan,0.250000,-0.164868
error,1.483054,1761865555.457757,-0.231707,0.250000,-0.164868
command,1.491582,1761865555.466286,nan,0.250000,-0.046438
error,1.509351,1761865555.484055,-0.175610,0.250000,-0.046438
command,1.523643,1761865555.498347,nan,0.250000,0.028261
error,1.548296,1761865555.523000,-0.109756,0.250000,0.028261
command,1.558514,1761865555.533217,nan,0.250000,0.101321
error,1.575947,1761865555.550650,-0.041463,0.250000,0.101321
command,1.589325,1761865555.564029,nan,0.250000,0.160292
error,1.607223,1761865555.581927,0.012195,0.250000,0.160292
command,1.622364,1761865555.597067,nan,0.250000,0.153919
error,1.648989,1761865555.623693,0.063415,0.250000,0.153919
command,1.657620,1761865555.632324,nan,0.250000,0.183608
error,1.675176,1761865555.649879,0.100000,0.250000,0.183608
command,1.688577,1761865555.663280,nan,0.250000,0.170172
error,1.707590,1761865555.682294,0.131707,0.250000,0.170172
command,1.721806,1761865555.696509,nan,0.250000,0.177905
error,1.741191,1761865555.715895,0.151220,0.250000,0.177905
command,1.755027,1761865555.729730,nan,0.250000,0.158755
error,1.773700,1761865555.748403,0.158537,0.250000,0.158755
command,1.786980,1761865555.761683,nan,0.250000,0.131453
error,1.816805,1761865555.791509,0.160976,0.250000,0.131453
command,1.821052,1761865555.795755,nan,0.250000,0.119335
error,1.842396,1761865555.817099,0.153659,0.250000,0.119335
command,1.854054,1761865555.828758,nan,0.250000,0.088128
error,1.873151,1761865555.847855,0.143902,0.250000,0.088128
command,1.886137,1761865555.860840,nan,0.250000,0.073414
error,1.912921,1761865555.887624,0.124390,0.250000,0.073414
command,1.920745,1761865555.895449,nan,0.250000,0.034150
error,1.941396,1761865555.916100,0.107317,0.250000,0.034150
command,1.953040,1761865555.927743,nan,0.250000,0.029549
error,1.975488,1761865555.950192,0.090244,0.250000,0.029549
command,1.985743,1761865555.960447,nan,0.250000,0.015362
error,2.007230,1761865555.981934,0.068293,0.250000,0.015362
command,2.018889,1761865555.993593,nan,0.250000,-0.010616
error,2.047040,1761865556.021743,0.051220,0.250000,-0.010616
command,2.052918,1761865556.027622,nan,0.250000,-0.010569
error,2.073684,1761865556.048388,0.031707,0.250000,-0.010569
command,2.085671,1761865556.060374,nan,0.250000,-0.030943
error,2.106688,1761865556.081392,0.014634,0.250000,-0.030943
command,2.117844,1761865556.092547,nan,0.250000,-0.036659
error,2.141474,1761865556.116177,-0.004878,0.250000,-0.036659
command,2.151661,1761865556.126364,nan,0.250000,-0.056316
error,2.173397,1761865556.148100,-0.021951,0.250000,-0.056316
command,2.183859,1761865556.158563,nan,0.250000,-0.062352
error,2.213912,1761865556.188616,-0.029268,0.250000,-0.062352
command,2.218161,1761865556.192864,nan,0.250000,-0.040211
error,2.240290,1761865556.214994,-0.041463,0.250000,-0.040211
command,2.250106,1761865556.224810,nan,0.250000,-0.063327
error,2.281472,1761865556.256176,-0.051220,0.250000,-0.063327
command,2.283762,1761865556.258466,nan,0.250000,-0.029024
error,2.308666,1761865556.283370,-0.056098,0.250000,-0.029024
command,2.317229,1761865556.291933,nan,0.250000,-0.078721
error,2.339958,1761865556.314662,-0.058537,0.250000,-0.078721
command,2.349231,1761865556.323935,nan,0.250000,-0.047796
error,2.373199,1761865556.347902,-0.060976,0.250000,-0.047796
command,2.382562,1761865556.357266,nan,0.250000,-0.049267
error,2.407180,1761865556.381884,-0.060976,0.250000,-0.049267
command,2.416374,1761865556.391078,nan,0.250000,-0.042683
error,2.441184,1761865556.415888,-0.056098,0.250000,-0.042683
command,2.449226,1761865556.423930,nan,0.250000,-0.025832
command,2.481643,1761865556.456346,nan,0.250000,-0.039268
error,2.482157,1761865556.456861,-0.053659,0.250000,-0.039268
error,2.506834,1761865556.481538,-0.046341,0.250000,-0.039268
command,2.515268,1761865556.489971,nan,0.250000,-0.006506
error,2.539535,1761865556.514238,-0.039024,0.250000,-0.006506
command,2.548257,1761865556.522961,nan,0.250000,-0.007199
error,2.572791,1761865556.547495,-0.029268,0.250000,-0.007199
command,2.581646,1761865556.556349,nan,0.250000,0.005837
error,2.614220,1761865556.588923,-0.026829,0.250000,0.005837
command,2.614259,1761865556.588963,nan,0.250000,-0.020488
error,2.641449,1761865556.616153,-0.026829,0.250000,-0.020488
command,2.646485,1761865556.621188,nan,0.250000,-0.012064
error,2.672821,1761865556.647524,-0.031707,0.250000,-0.012064
command,2.679649,1761865556.654352,nan,0.250000,-0.035464
error,2.706378,1761865556.681082,-0.039024,0.250000,-0.035464
command,2.712884,1761865556.687588,nan,0.250000,-0.047186
error,2.739808,1761865556.714511,-0.063415,0.250000,-0.047186
command,2.746042,1761865556.720746,nan,0.250000,-0.110473
command,2.780618,1761865556.755322,nan,0.250000,-0.044390
error,2.780914,1761865556.755617,-0.095122,0.250000,-0.044390
error,2.809019,1761865556.783723,-0.134146,0.250000,-0.044390
command,2.811988,1761865556.786692,nan,0.250000,-0.153000
command,2.845028,1761865556.819731,nan,0.250000,-0.200812
error,2.846929,1761865556.821632,-0.178049,0.250000,-0.200812
error,2.873502,1761865556.848205,-0.226829,0.250000,-0.200812
command,2.877870,1761865556.852573,nan,0.250000,-0.411078
command,2.911129,1761865556.885832,nan,0.250000,-0.158780
error,2.912590,1761865556.887294,-0.295122,0.250000,-0.158780
error,2.940079,1761865556.914783,-0.365854,0.250000,-0.158780
command,2.943290,1761865556.917993,nan,0.250000,-0.395112
error,2.974675,1761865556.949378,-0.404878,0.250000,-0.395112
command,2.976966,1761865556.951669,nan,0.250000,-0.447401
command,3.010096,1761865556.984800,nan,0.250000,-0.389122
error,3.013132,1761865556.987836,-0.451219,0.250000,-0.389122
error,3.040227,1761865557.014930,-0.463415,0.250000,-0.389122
command,3.042481,1761865557.017184,nan,0.250000,-0.445650
command,3.075452,1761865557.050156,nan,0.250000,-0.357333
error,3.079272,1761865557.053976,-0.439024,0.250000,-0.357333
error,3.108556,1761865557.083259,-0.370732,0.250000,-0.357333
command,3.108999,1761865557.083702,nan,0.250000,-0.240780
command,3.144240,1761865557.118944,nan,0.250000,-0.070395
error,3.153477,1761865557.128181,-0.265854,0.250000,-0.070395
command,3.175164,1761865557.149868,nan,0.250000,0.094503
error,3.175194,1761865557.149898,-0.168293,0.250000,0.094503
command,3.207951,1761865557.182654,nan,0.250000,0.152024
error,3.207982,1761865557.182685,-0.060976,0.250000,0.152024
error,3.239492,1761865557.214196,-0.002439,0.250000,0.152024
command,3.242458,1761865557.217162,nan,0.250000,0.233096
error,3.273900,1761865557.248603,0.029268,0.250000,0.233096
command,3.274429,1761865557.249132,nan,0.250000,0.167258
command,3.308972,1761865557.283675,nan,0.250000,0.106742
error,3.313585,1761865557.288289,0.031707,0.250000,0.106742
error,3.340196,1761865557.314899,0.021951,0.250000,0.106742
command,3.340573,1761865557.315276,nan,0.250000,0.028771
command,3.373564,1761865557.348267,nan,0.250000,-0.011250
error,3.378561,1761865557.353265,0.019512,0.250000,-0.011250
command,3.406013,1761865557.380717,nan,0.250000,0.006927
error,3.406808,1761865557.381512,0.024390,0.250000,0.006927
command,3.438362,1761865557.413065,nan,0.250000,0.030495
error,3.446172,1761865557.420875,0.043902,0.250000,0.030495
command,3.471515,1761865557.446219,nan,0.250000,0.083647
error,3.475142,1761865557.449846,0.085366,0.250000,0.083647
command,3.505685,1761865557.480388,nan,0.250000,0.172863
error,3.505723,1761865557.480427,0.134146,0.250000,0.172863
command,3.539698,1761865557.514401,nan,0.250000,0.226771
error,3.545670,1761865557.520373,0.197561,0.250000,0.226771
command,3.571748,1761865557.546452,nan,0.250000,0.310251
error,3.573058,1761865557.547762,0.278049,0.250000,0.310251
command,3.604567,1761865557.579271,nan,0.250000,0.412374
error,3.613020,1761865557.587724,0.382927,0.250000,0.412374
command,3.636390,1761865557.611094,nan,0.250000,0.556719
error,3.641737,1761865557.616440,0.514634,0.250000,0.556719
command,3.669268,1761865557.643972,nan,0.250000,0.720513
error,3.672555,1761865557.647258,0.514634,0.250000,0.720513
command,3.702220,1761865557.676924,nan,0.250000,0.360244
error,3.705672,1761865557.680375,0.514634,0.250000,0.360244
command,3.738437,1761865557.713140,nan,0.250000,0.360244
error,3.746125,1761865557.720829,0.514634,0.250000,0.360244
command,3.768070,1761865557.742773,nan,0.250000,0.360244
error,3.773250,1761865557.747954,0.543902,0.250000,0.360244
command,3.803961,1761865557.778664,nan,0.250000,0.460924
error,3.815630,1761865557.790333,0.424390,0.250000,0.460924
command,3.834295,1761865557.808999,nan,0.250000,-0.023657
error,3.840003,1761865557.814706,0.287805,0.250000,-0.023657
command,3.869540,1761865557.844244,nan,0.250000,-0.174062
error,3.878443,1761865557.853147,0.136585,0.250000,-0.174062
command,3.900299,1761865557.875003,nan,0.250000,-0.318875
error,3.906208,1761865557.880912,-0.004878,0.250000,-0.318875
command,3.933285,1761865557.907989,nan,0.250000,-0.387118
error,3.939089,1761865557.913793,-0.104878,0.250000,-0.387118
command,3.969840,1761865557.944544,nan,0.250000,-0.347178
error,3.980965,1761865557.955669,-0.165854,0.250000,-0.347178
command,3.999478,1761865557.974181,nan,0.250000,-0.282700
error,4.007201,1761865557.981905,-0.182927,0.250000,-0.282700
command,4.035883,1761865558.010586,nan,0.250000,-0.174297
error,4.045389,1761865558.020093,-0.153659,0.250000,-0.174297
command,4.065608,1761865558.040311,nan,0.250000,-0.027576
error,4.073284,1761865558.047987,-0.107317,0.250000,-0.027576
command,4.100750,1761865558.075454,nan,0.250000,0.050322
error,4.112613,1761865558.087317,-0.048780,0.250000,0.050322
command,4.131470,1761865558.106174,nan,0.250000,0.125338
error,4.141362,1761865558.116066,0.017073,0.250000,0.125338
command,4.164379,1761865558.139083,nan,0.250000,0.193337
error,4.172750,1761865558.147454,0.075610,0.250000,0.193337
command,4.199471,1761865558.174175,nan,0.250000,0.212387
error,4.212837,1761865558.187540,0.114634,0.250000,0.212387
command,4.230988,1761865558.205692,nan,0.250000,0.185487
error,4.239436,1761865558.214140,0.134146,0.250000,0.185487
command,4.267024,1761865558.241728,nan,0.250000,0.146768
error,4.278765,1761865558.253469,0.141463,0.250000,0.146768
command,4.296266,1761865558.270969,nan,0.250000,0.119224
error,4.308254,1761865558.282958,0.129268,0.250000,0.119224
command,4.329135,1761865558.303839,nan,0.250000,0.056866
error,4.339197,1761865558.313901,0.107317,0.250000,0.056866
command,4.366015,1761865558.340718,nan,0.250000,0.016735
error,4.379725,1761865558.354429,0.056098,0.250000,0.016735
command,4.395231,1761865558.369934,nan,0.250000,-0.102114
error,4.406983,1761865558.381687,0.002439,0.250000,-0.102114
command,4.427822,1761865558.402526,nan,0.250000,-0.146723
error,4.439033,1761865558.413736,-0.063415,0.250000,-0.146723
command,4.461959,1761865558.436662,nan,0.250000,-0.220145
error,4.475099,1761865558.449802,-0.129268,0.250000,-0.220145
command,4.497260,1761865558.471964,nan,0.250000,-0.269729
error,4.512125,1761865558.486828,-0.209756,0.250000,-0.269729
command,4.527597,1761865558.502301,nan,0.250000,-0.366023
error,4.539592,1761865558.514296,-0.287805,0.250000,-0.366023
command,4.560141,1761865558.534844,nan,0.250000,-0.417698
error,4.572878,1761865558.547582,-0.368293,0.250000,-0.417698
command,4.593865,1761865558.568568,nan,0.250000,-0.473665
error,4.607049,1761865558.581752,-0.443902,0.250000,-0.473665
command,4.626214,1761865558.600918,nan,0.250000,-0.518895
error,4.650064,1761865558.624768,-0.468293,0.250000,-0.518895
command,4.659230,1761865558.633934,nan,0.250000,-0.395711
error,4.676510,1761865558.651214,-0.441463,0.250000,-0.395711
command,4.692295,1761865558.666998,nan,0.250000,-0.236281
error,4.706854,1761865558.681558,-0.360976,0.250000,-0.236281
command,4.728341,1761865558.703044,nan,0.250000,-0.034032
error,4.747160,1761865558.721864,-0.253659,0.250000,-0.034032
command,4.758439,1761865558.733142,nan,0.250000,0.116324
error,4.774520,1761865558.749223,-0.134146,0.250000,0.116324
command,4.790634,1761865558.765338,nan,0.250000,0.229586
error,4.808799,1761865558.783503,-0.036585,0.250000,0.229586
command,4.824048,1761865558.798751,nan,0.250000,0.239517
error,4.841080,1761865558.815784,0.026829,0.250000,0.239517
command,4.857358,1761865558.832062,nan,0.250000,0.189963
error,4.881551,1761865558.856254,0.048780,0.250000,0.189963
command,4.890696,1761865558.865400,nan,0.250000,0.095176
error,4.908409,1761865558.883112,0.031707,0.250000,0.095176
command,4.922828,1761865558.897531,nan,0.250000,-0.023918
error,4.940388,1761865558.915091,-0.007317,0.250000,-0.023918
command,4.955925,1761865558.930629,nan,0.250000,-0.110985
error,4.975016,1761865558.949720,-0.080488,0.250000,-0.110985
command,4.989089,1761865558.963792,nan,0.250000,-0.255167
error,5.007191,1761865558.981894,-0.173171,0.250000,-0.255167
command,5.021180,1761865558.995884,nan,0.250000,-0.381461
error,5.039289,1761865559.013992,-0.292683,0.250000,-0.381461
command,5.054366,1761865559.029069,nan,0.250000,-0.528718
error,5.073283,1761865559.047986,-0.431707,0.250000,-0.528718
command,5.087569,1761865559.062273,nan,0.250000,-0.679109
error,5.105633,1761865559.080336,-0.431707,0.250000,-0.679109
command,5.120609,1761865559.095313,nan,0.250000,-0.302195
error,5.147306,1761865559.122010,-0.431707,0.250000,-0.302195
command,5.155428,1761865559.130132,nan,0.250000,-0.302195
error,5.173929,1761865559.148633,-0.431707,0.250000,-0.302195
command,5.186381,1761865559.161084,nan,0.250000,-0.302195
error,5.212921,1761865559.187625,-0.409756,0.250000,-0.302195
command,5.220715,1761865559.195419,nan,0.250000,-0.227201
error,5.239331,1761865559.214035,-0.324390,0.250000,-0.227201
command,5.252794,1761865559.227498,nan,0.250000,0.004544
error,5.272923,1761865559.247627,-0.226829,0.250000,0.004544
command,5.285894,1761865559.260597,nan,0.250000,0.105782
error,5.316083,1761865559.290787,-0.134146,0.250000,0.105782
command,5.319716,1761865559.294420,nan,0.250000,-0.158780
error,5.340513,1761865559.315216,-0.109756,0.250000,-0.158780
command,5.352449,1761865559.327153,nan,0.250000,0.245654
error,5.372369,1761865559.347073,-0.129268,0.250000,0.245654
command,5.384667,1761865559.359371,nan,0.250000,-0.144113
error,5.406053,1761865559.380756,-0.163415,0.250000,-0.144113
command,5.418242,1761865559.392945,nan,0.250000,-0.206649
error,5.438722,1761865559.413425,-0.248780,0.250000,-0.206649
command,5.450432,1761865559.425136,nan,0.250000,-0.410574
error,5.482498,1761865559.457201,-0.336585,0.250000,-0.410574
command,5.485451,1761865559.460155,nan,0.250000,-0.174146
error,5.507177,1761865559.481881,-0.412195,0.250000,-0.174146
command,5.517862,1761865559.492565,nan,0.250000,-0.743094
error,5.539025,1761865559.513729,-0.436585,0.250000,-0.743094
command,5.550001,1761865559.524705,nan,0.250000,-0.371666
error,5.579559,1761865559.554262,-0.417073,0.250000,-0.371666
command,5.583421,1761865559.558125,nan,0.250000,-0.305610
error,5.606710,1761865559.581414,-0.324390,0.250000,-0.305610
command,5.616274,1761865559.590977,nan,0.250000,0.079110
error,5.641255,1761865559.615958,-0.192683,0.250000,0.079110
command,5.650314,1761865559.625018,nan,0.250000,0.221071
error,5.672699,1761865559.647403,-0.082927,0.250000,0.221071
command,5.682910,1761865559.657614,nan,0.250000,0.238899
error,5.711829,1761865559.686532,-0.021951,0.250000,0.238899
command,5.716247,1761865559.690951,nan,0.250000,0.149283
error,5.739534,1761865559.714238,0.017073,0.250000,0.149283
